Feature,Outlier_Count,Outlier_Rate
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,8,0.07017543859649122
T2_Morph_Maximum3DDiameter_mm,7,0.06140350877192982
Pre_GLSZM_LowGrayLevelZoneEmphasis,7,0.06140350877192982
T2_IH_IntensityHistogramMean_Intensity,7,0.06140350877192982
T2_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,7,0.06140350877192982
Pre_IB_IntensityKurtosis,7,0.06140350877192982
Pre_GLRLM_ShortRunsEmphasis,7,0.06140350877192982
Pre_IH_IntensityHistogramKurtosis_Intensity,7,0.06140350877192982
ADC_Morph_SurfaceToVolumeRatio_cm,7,0.06140350877192982
Pre_NGTDM_Contrast,7,0.06140350877192982
T2_Morph_SphereDiameter_mm,7,0.06140350877192982
T2_IB_MeanIntensity,7,0.06140350877192982
Pre_GLCM_JointVariance,7,0.06140350877192982
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,7,0.06140350877192982
T2_IB_IntensityInterquartileRange,7,0.06140350877192982
ADC_GLCM_Dissimilarity,7,0.06140350877192982
ADC_Morph_Maximum3DDiameter_mm,7,0.06140350877192982
Pre_Morph_Maximum3DDiameter_mm,7,0.06140350877192982
T2_GLCM_DifferenceAverage,7,0.06140350877192982
T2_IH_AreaUnderCurveCIVH_Intensity,7,0.06140350877192982
ADC_IB_IntensityVariance,7,0.06140350877192982
T2_IH_IntensityHistogramInterquartileRange_Intensity,7,0.06140350877192982
T2_IH_IntensityHistogramMode_Intensity,7,0.06140350877192982
T2_IB_AreaUnderCurveCIVH,7,0.06140350877192982
T2_GLCM_Dissimilarity,7,0.06140350877192982
Pre_Morph_SphereDiameter_mm,7,0.06140350877192982
T2_Morph_Compacity,6,0.05263157894736842
ADC_GLSZM_ZonePercentage,6,0.05263157894736842
T2_GLRLM_ShortRunsEmphasis,6,0.05263157894736842
ADC_GLSZM_ZoneSizeNonUniformity,6,0.05263157894736842
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,6,0.05263157894736842
T2_GLRLM_RunPercentage,6,0.05263157894736842
ADC_IH_IntensityHistogramVariance_Intensity,6,0.05263157894736842
T2_IB_75thIntensityPercentile,6,0.05263157894736842
T2_IB_90thIntensityPercentile,6,0.05263157894736842
Pre_GLCM_DifferenceVariance,6,0.05263157894736842
Pre_Morph_Compacity,6,0.05263157894736842
Pre_GLCM_Contrast,6,0.05263157894736842
T2_IH_MinimumHistogramGradientGreyLevel_Intensity,6,0.05263157894736842
Pre_GLCM_SumEntropy,6,0.05263157894736842
T2_IH_IntensityHistogram90thPercentile,6,0.05263157894736842
ADC_Morph_CentreOfMassShift_mm,6,0.05263157894736842
ADC_GLCM_NormalisedInverseDifference,6,0.05263157894736842
ADC_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,6,0.05263157894736842
T2_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,5,0.043859649122807015
ADC_IH_IntensityHistogramEntropyLog10_Intensity,5,0.043859649122807015
ADC_IH_Uniformity_Intensity,5,0.043859649122807015
T2_Morph_Asphericity,5,0.043859649122807015
T2_Morph_Compactness1,5,0.043859649122807015
ADC_GLSZM_GreyLevelNonUniformity,5,0.043859649122807015
Pre_GLCM_SumVariance,5,0.043859649122807015
Pre_IB_IntensityVariance,5,0.043859649122807015
ADC_NGTDM_Complexity,5,0.043859649122807015
Pre_GLCM_ClusterTendency,5,0.043859649122807015
ADC_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,5,0.043859649122807015
T2_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,5,0.043859649122807015
T2_GLCM_InverseVariance,5,0.043859649122807015
Pre_Morph_SphericalDisproportion,5,0.043859649122807015
Pre_GLRLM_GreyLevelVariance,5,0.043859649122807015
T2_IB_25thIntensityPercentile,5,0.043859649122807015
T2_IB_RootMeanSquareIntensity,5,0.043859649122807015
ADC_GLCM_Correlation,5,0.043859649122807015
ADC_GLRLM_LowGreyLevelRunEmphasis,5,0.043859649122807015
Pre_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,5,0.043859649122807015
Pre_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,5,0.043859649122807015
Pre_Morph_CentreOfMassShift_mm,5,0.043859649122807015
Pre_GLSZM_GreyLevelVariance,5,0.043859649122807015
Pre_IH_IntensityHistogramVariance_Intensity,5,0.043859649122807015
Pre_Morph_Compactness1,5,0.043859649122807015
T2_Morph_Sphericity,5,0.043859649122807015
Pre_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,5,0.043859649122807015
Pre_Morph_Asphericity,5,0.043859649122807015
ADC_Morph_Compactness2,5,0.043859649122807015
Pre_Morph_Sphericity,5,0.043859649122807015
ADC_Morph_Sphericity,5,0.043859649122807015
T2_Morph_SphericalDisproportion,5,0.043859649122807015
ADC_NGTDM_Coarseness,5,0.043859649122807015
ADC_GLCM_JointVariance,4,0.03508771929824561
ADC_GLCM_JointEntropyLog2,4,0.03508771929824561
ADC_GLSZM_LowGrayLevelZoneEmphasis,4,0.03508771929824561
ADC_GLRLM_RunEntropy,4,0.03508771929824561
ADC_GLRLM_LongRunLowGreyLevelEmphasis,4,0.03508771929824561
ADC_Morph_Asphericity,4,0.03508771929824561
Pre_IB_IntensitySkewness,4,0.03508771929824561
ADC_IB_MaximumIntensity,4,0.03508771929824561
ADC_GLSZM_SmallZoneLowGreyLevelEmphasis,4,0.03508771929824561
ADC_IB_IntensityBasedMeanAbsoluteDeviation,4,0.03508771929824561
Pre_IH_IntensityHistogramSkewness_Intensity,4,0.03508771929824561
T2_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,4,0.03508771929824561
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,4,0.03508771929824561
T2_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,4,0.03508771929824561
T2_IB_IntensityBasedCoefficientOfVariation,3,0.02631578947368421
Pre_GLSZM_HighGrayLevelZoneEmphasis,3,0.02631578947368421
ADC_GLCM_InverseVariance,3,0.02631578947368421
ADC_IB_IntensityBasedRobustMeanAbsoluteDeviation,3,0.02631578947368421
ADC_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,3,0.02631578947368421
Pre_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,3,0.02631578947368421
ADC_GLRLM_ShortRunLowGreyLevelEmphasis,3,0.02631578947368421
ADC_IB_IntensityRange,3,0.02631578947368421
ADC_Morph_Compacity,3,0.02631578947368421
ADC_IH_IntensityHistogramRange_Intensity,3,0.02631578947368421
T2_IB_IntensitySkewness,3,0.02631578947368421
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,3,0.02631578947368421
ADC_Morph_SphericalDisproportion,3,0.02631578947368421
Pre_IH_IntensityHistogramInterquartileRange_Intensity,3,0.02631578947368421
Pre_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,3,0.02631578947368421
T2_IH_IntensityHistogram25thPercentile,3,0.02631578947368421
T2_GLSZM_NormalisedZoneSizeNonUniformity,3,0.02631578947368421
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,3,0.02631578947368421
T2_IH_IntensityHistogramSkewness_Intensity,2,0.017543859649122806
T2_IB_10thIntensityPercentile,2,0.017543859649122806
Pre_GLSZM_ZoneSizeEntropy,2,0.017543859649122806
T2_IB_IntensityRange,2,0.017543859649122806
T2_IH_IntensityHistogramRange_Intensity,2,0.017543859649122806
T2_NGTDM_Coarseness,2,0.017543859649122806
T2_IH_IntensityHistogram10thPercentile,2,0.017543859649122806
T2_IH_RootMeanSquare_Intensity,2,0.017543859649122806
T2_Morph_CentreOfMassShift_mm,2,0.017543859649122806
T2_Morph_Compactness2,2,0.017543859649122806
T2_GLSZM_ZoneSizeEntropy,2,0.017543859649122806
ADC_IB_90thIntensityPercentile,2,0.017543859649122806
Pre_NGTDM_Strength,2,0.017543859649122806
ADC_IH_IntensityHistogram90thPercentile,2,0.017543859649122806
Pre_IH_IntensityHistogramCoefficientOfVariation_Intensity,2,0.017543859649122806
ADC_IB_MinimumIntensity,2,0.017543859649122806
ADC_GLSZM_ZoneSizeVariance,2,0.017543859649122806
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,2,0.017543859649122806
ADC_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,2,0.017543859649122806
Pre_Morph_Compactness2,2,0.017543859649122806
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,2,0.017543859649122806
Pre_IH_RootMeanSquare_Intensity,2,0.017543859649122806
ADC_IH_IntensityHistogramCoefficientOfVariation_Intensity,2,0.017543859649122806
Pre_IB_IntensityBasedQuartileCoefficientOfDispersion,2,0.017543859649122806
Pre_IB_IntensityBasedCoefficientOfVariation,2,0.017543859649122806
ADC_IH_IntensityHistogramMinimumGreyLevel_Intensity,2,0.017543859649122806
ADC_IH_IntensityHistogramMode_Intensity,2,0.017543859649122806
ADC_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,2,0.017543859649122806
ADC_Morph_Compactness1,2,0.017543859649122806
T2_IH_IntensityHistogramMaximumGreyLevel_Intensity,1,0.008771929824561403
ADC_GLSZM_NormalisedZoneSizeNonUniformity,1,0.008771929824561403
Pre_IB_MaximumIntensity,1,0.008771929824561403
Pre_IH_IntensityHistogramEntropyLog10_Intensity,1,0.008771929824561403
Pre_IB_IntensityInterquartileRange,1,0.008771929824561403
Pre_IH_IntensityHistogramMaximumGreyLevel_Intensity,1,0.008771929824561403
T2_IB_IntensityBasedQuartileCoefficientOfDispersion,1,0.008771929824561403
Pre_IH_IntensityHistogramMode_Intensity,1,0.008771929824561403
Pre_Morph_SurfaceToVolumeRatio_cm,1,0.008771929824561403
