,Morph_Compacity,Morph_Compactness1,Morph_Compactness2,Morph_SphericalDisproportion,Morph_Sphericity,Morph_Asphericity,IB_IntensitySkewness,IH_IntensityHistogramSkewness_Intensity,Morph_Volume_cm3,Morph_ApproximateVolume_cm3,Morph_voxelsCounting_vx,Morph_SurfaceArea_cm2,Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
Morph_voxelsCounting_vx,0.4794678366987061,-0.4794678366987061,-0.4794678366987061,0.4794678366987061,-0.4794678366987061,0.4794678366987061,0.03726342726161618,0.03004003215198457,0.9999250685505554,1.0,1.0,0.9935352863836403,0.849989041450847,0.25963010078176935,-0.30376099860145334,-0.7611180632009241,0.0011935966035602145,0.07465600243596093,-0.5062989987389932,-0.5175902649049436
Morph_SurfaceArea_cm2,0.5513120232582536,-0.5513120232582536,-0.5513120232582536,0.5513120232582536,-0.5513120232582536,0.5513120232582536,0.03226483238172309,0.02525138995039638,0.9931307848381421,0.9935352863836403,0.9935352863836403,1.0,0.8598360532901737,0.2787243926928322,-0.3007687811895877,-0.7798181808306063,-0.013142172365576034,0.076911385055052,-0.49970964324864214,-0.5248347317294942
Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,0.5225614050862444,-0.5225614050862444,-0.5225614050862444,0.5225614050862444,-0.5225614050862444,0.5225614050862444,0.08286502120517317,0.07998771148975707,0.8500068373713707,0.849989041450847,0.849989041450847,0.8598360532901737,1.0,0.6762651920454376,-0.1873023722819164,-0.8200334565677677,-0.21241288324551083,-0.10625936101726591,-0.5702644682335231,-0.6029796058383544
Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.3232102983710231,-0.3232102983710231,-0.3232102983710231,0.3232102983710231,-0.3232102983710231,0.3232102983710231,0.060266151148675985,0.06341320864991233,0.2595727861443849,0.25963010078176935,0.25963010078176935,0.2787243926928322,0.6762651920454376,1.0,-0.010048105021804614,-0.5006378471147447,-0.4054624220386375,-0.30049462216123934,-0.36344426838006194,-0.40238353480869704
Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,-0.133675013862039,0.133675013862039,0.133675013862039,-0.133675013862039,0.133675013862039,-0.133675013862039,0.152609809827811,0.1553222736741147,-0.30344809499688896,-0.30376099860145334,-0.30376099860145334,-0.3007687811895877,-0.1873023722819164,-0.010048105021804614,1.0,0.3028097117738341,0.05408856173195912,-0.02841559548782124,0.1718462570309323,0.205069413616961
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,-0.5380919286821383,0.5380919286821383,0.5380919286821383,-0.5380919286821383,0.5380919286821383,-0.5380919286821383,0.01857905276510001,0.022775168735439194,-0.7602814400411252,-0.7611180632009241,-0.7611180632009241,-0.7798181808306063,-0.8200334565677677,-0.5006378471147447,0.3028097117738341,1.0,0.46678333592686244,0.2517931060476201,0.6589662077749231,0.6968776225921107
Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,-0.0619111811537427,0.0619111811537427,0.0619111811537427,-0.0619111811537427,0.0619111811537427,-0.0619111811537427,0.023828505922557003,0.02165603313033829,0.0002576059519934671,0.0011935966035602145,0.0011935966035602145,-0.013142172365576034,-0.21241288324551083,-0.4054624220386375,0.05408856173195912,0.46678333592686244,1.0,0.36930642852438905,0.3044179514633559,0.28835015595669333
Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.09821207718034033,-0.09821207718034033,-0.09821207718034033,0.09821207718034033,-0.09821207718034033,0.09821207718034033,0.07263363944507018,0.06194527786952159,0.07381826107459051,0.07465600243596093,0.07465600243596093,0.076911385055052,-0.10625936101726591,-0.30049462216123934,-0.02841559548782124,0.2517931060476201,0.36930642852438905,1.0,0.7954615391769938,0.7705987853185775
Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,-0.20209206746545563,0.20209206746545563,0.20209206746545563,-0.20209206746545563,0.20209206746545563,-0.20209206746545563,0.010681383073061568,0.005226422092922092,-0.5067915515606556,-0.5062989987389932,-0.5062989987389932,-0.49970964324864214,-0.5702644682335231,-0.36344426838006194,0.1718462570309323,0.6589662077749231,0.3044179514633559,0.7954615391769938,1.0,0.9806059311949209
Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,-0.31255327080888207,0.31255327080888207,0.31255327080888207,-0.31255327080888207,0.31255327080888207,-0.31255327080888207,0.034718983045680676,0.02958250675824912,-0.5174775395856693,-0.5175902649049436,-0.5175902649049436,-0.5248347317294942,-0.6029796058383544,-0.40238353480869704,0.205069413616961,0.6968776225921107,0.28835015595669333,0.7705987853185775,0.9806059311949209,1.0
