Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
SVM_Linear,0.7604528078690758,0.0672413459008791,0.7024999999999999,0.7025,0.7017543859649122,0.7907617370429646,0.1156316469799981,0.7282488661829747,0.6715733541820499,0.1458843069877791,0.6666666666666666,0.6927764486975013,0.1092711220031297,0.6484375,0.7238636363636364,0.1736667036796119,0.6710526315789473,0.8514619883040936,0.245324251218049,0.796875,0.727083842083842,0.1232301272401202,0.7285714285714285,0.5340909090909091,0.3389336705874045,0.5,0.3690249895127943,0.224905296318441,0.3048780487804878,0.2266526178343757,10.4,10.4,5.851495535331118,4,10.0,18,0.5806766994266994,0.8105326996737127,0.5354287633361946,0.8853298329277264,0.5338841807909604,0.7857564679415071,0.535480692553061,0.7637597334531295,0.4814814814814814,0.8289553915275995,0.6349130036630036,0.938790970933828,0.5714285714285714,0.845780711825488,0.3260597826086957,0.696969696969697,0.0699618020005564,0.5351259454557493,0.1766480531617308,0.2818546560199793,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,4,1.9259259259259258
LogisticRegression,0.7578448992085356,0.0374898686563533,0.699375,0.699375,0.690520160049246,0.8192983879058063,0.0471074968228349,0.7596804016437697,0.6377564464520986,0.0953331125960477,0.631578947368421,0.6714779372674109,0.0688643016444539,0.645625,0.7533333333333334,0.139204086785474,0.7391304347826086,0.5671982987772461,0.2437139462779502,0.53125,0.6052145748987854,0.1436863640506056,0.6181818181818182,0.7757575757575758,0.1469462649236889,0.76,0.3121097389015384,0.1487562563311696,0.280216476247745,0.2269848213878274,10.4,10.4,4.079215610874228,6,10.0,16,0.5749159768314813,0.8100027281764114,0.565832142218111,0.8978476163082737,0.5315244932432432,0.729513735046522,0.5437483198924731,0.7405399659863946,0.5128205128205128,0.9,0.3653769841269841,0.6792452830188679,0.4444444444444444,0.7413841534289035,0.6304347826086957,0.8857142857142857,0.0865335545998928,0.4617438504714503,0.1868716494704869,0.2725388185604468,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,38,4,1.368421052631579
SVM_Linear,0.7576199336725653,0.096704722080869,0.7103125000000001,0.7103125,0.7071021852877808,0.7878286055863319,0.1325725107868184,0.7497072507047207,0.6905833297137645,0.1060721829004826,0.6842105263157895,0.7120946305156831,0.0756082713151162,0.6793750000000001,0.7522268907563024,0.1501360868449799,0.71875,0.7666135034556086,0.2024517732758682,0.71875,0.720094841805368,0.1092673200043718,0.71875,0.6575757575757576,0.2186442910005751,0.64,0.3989385265244333,0.1654817183665514,0.35875,0.2253077770896465,10.4,10.4,5.851495535331118,4,10.0,18,0.5931096646971504,0.8122371794871794,0.565965586790029,0.8879635292292444,0.5851781970649895,0.77521050521251,0.5817607213650487,0.7683378664945602,0.5384615384615384,0.8536585365853658,0.574992816091954,0.8524710703953712,0.584070796460177,0.8198824791098798,0.4871794871794871,0.7678914835164834,0.1600617912560195,0.5350156219442916,0.1861230313814462,0.2710129726580898,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,4,1.9259259259259258
KNN,0.7551364925168753,0.074996428034312,0.70140625,0.70140625,0.6990997229916897,0.7875156255471014,0.1054058336214777,0.7469476765838546,0.6810218766740506,0.0865838031559166,0.6754385964912281,0.7024986709197235,0.0556631202808119,0.6759375000000001,0.7495238095238096,0.1371511240894593,0.7288135593220338,0.7110579479000532,0.1839030169734367,0.671875,0.6971721656950859,0.0969188335064783,0.6991869918699187,0.693939393939394,0.1731918261113158,0.68,0.3785456562061144,0.1282931528719433,0.3480680061823802,0.2263576351593269,10.4,10.4,4.079215610874228,6,10.0,16,0.555814059714795,0.8108251977438024,0.5290553339619399,0.883913800232427,0.5613871126414166,0.7678660122989593,0.5610721925568095,0.7686206388966508,0.5,0.8765474378488077,0.5,0.8113207547169812,0.5148373408769449,0.8057795780182575,0.536542824730573,0.8222549019607841,0.1187688955977305,0.5286431548918901,0.1767978668334216,0.2843600826539854,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,38,4,1.368421052631579
KNN,0.7444313952926394,0.1106073305522766,0.69359375,0.69359375,0.6703216374269005,0.8066221360266563,0.0684319577126065,0.7618428769384847,0.6513095600052122,0.134811963513784,0.6491228070175439,0.6741108452950558,0.1349438193002742,0.6590625,0.752020202020202,0.1876206546465364,0.74,0.5989792663476875,0.1277121281807238,0.578125,0.654568238778765,0.1229708448436674,0.6491228070175439,0.7492424242424243,0.1965671878022308,0.74,0.3163536147156575,0.2657504112554925,0.3086719223771982,0.2355839728842831,13.6,13.6,2.65329983228432,10,14.0,18,0.5911566281819447,0.7954361401843477,0.5827860246855371,0.8766534078012176,0.5447136324041811,0.7589312607573149,0.552605860591709,0.7667923752448923,0.5306122448979592,0.902458693941778,0.4285238095238096,0.7222222222222222,0.4946176150779268,0.7681159420289855,0.5853658536585366,0.8947368421052632,0.1029554039206932,0.5124519463161907,0.1915213857996152,0.2784713433128527,2000,2000,corr_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,49,4,1.3877551020408163
XGBoost,0.7391871322014862,0.1106003625243887,0.6515624999999999,0.6515625,0.6481224992305324,0.7665960217860244,0.1464264285891871,0.6804935987798252,0.6096179183135704,0.0645513695468558,0.6052631578947368,0.6461496544391281,0.0386949486219605,0.6090625000000001,0.7119047619047618,0.1587222220237996,0.6727272727272727,0.6263902179691654,0.1881215258694722,0.578125,0.6227795575896262,0.0748284324514921,0.6218487394957983,0.6659090909090909,0.1962457558629355,0.64,0.2608688812701386,0.0800272438853729,0.2139135764633774,0.2781567291603224,13.6,13.6,2.65329983228432,10,14.0,18,0.5225076905775997,0.7770656192054286,0.490199018707609,0.8561742477317967,0.4893323839839169,0.7160559495665878,0.4910256261595548,0.7208096463924059,0.4583156779661017,0.8431525735294116,0.4222222222222222,0.7411815415821501,0.4627781309599492,0.7450980392156863,0.46426393728223,0.8095238095238095,-0.0179172826137504,0.4288934917543573,0.2088227646692421,0.3451186754135586,2000,2000,corr_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,49,4,1.3877551020408163
KNN,0.7388471005337034,0.0704286265765782,0.6829687500000001,0.6829687500000001,0.6831717451523546,0.7914511755124649,0.0882824876806318,0.7413804731381419,0.6250778207299946,0.0925561384735744,0.6228070175438597,0.6285045948203842,0.0845914573029555,0.6159375,0.6633333333333333,0.1275408431313932,0.6615384615384615,0.6899096225412015,0.1261671959239445,0.671875,0.6635872148815236,0.0878826381480439,0.6666666666666666,0.5670995670995671,0.1377803817450917,0.56,0.2440835927198205,0.1704557737501271,0.2323833385530849,0.2369505890600519,13.6,13.6,2.65329983228432,10,14.0,18,0.5833938234384662,0.7900012437810944,0.5534666319361841,0.8737051697344098,0.5368301435406699,0.7155240471869329,0.5305262348763227,0.7152576112412177,0.4753889969435954,0.8088276602775941,0.55,0.7962962962962963,0.5370257452574526,0.7651006711409396,0.4185940803382664,0.7045454545454546,0.0610623368220801,0.4192409562296119,0.1907405302887443,0.2782282391167791,2000,2000,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,49,4,1.3877551020408163
RandomForest,0.7360588799823251,0.0976454373732165,0.66375,0.6637500000000001,0.6633579562942444,0.8006732724034513,0.112143102714812,0.745364756890389,0.5726838379012291,0.0738950332005204,0.5701754385964912,0.5981552365762892,0.0966445426927009,0.5778125000000001,0.6492307692307693,0.2002129044307377,0.6470588235294118,0.5387347155768208,0.2364913265471037,0.515625,0.5517182817182817,0.1559200637105752,0.5739130434782609,0.6575757575757576,0.198675596523103,0.64,0.1639232356277049,0.169015753858352,0.1513217866909755,0.2303513921905531,13.6,13.6,2.65329983228432,10,14.0,18,0.5290952380952381,0.7889123854004496,0.5446901315861338,0.8819644597156495,0.4615217391304348,0.6764879573876794,0.4664153265363324,0.6868901615500494,0.4210526315789473,0.8400227272727271,0.3548219086021505,0.6667613636363631,0.4054054054054054,0.7059276018099545,0.4804856601731602,0.8064826302729526,-0.06536264156173,0.3544433403896833,0.1962764524884771,0.2635189701513022,2000,2000,corr_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,49,4,1.3877551020408163
KNN,0.733492776937753,0.0728273795907596,0.7146875,0.7146875,0.7154124345952602,0.7724404029706566,0.0749924346030447,0.7585767877095554,0.7103389364258929,0.1340467511442309,0.7017543859649122,0.7254497987392723,0.0807809887441812,0.70375,0.7618198794669382,0.0789277603394175,0.7586206896551724,0.7271982987772461,0.2227697585737035,0.6875,0.7161965811965813,0.1437621319682739,0.7213114754098361,0.7237012987012987,0.1004475937154572,0.72,0.4450634992271081,0.1881188752219802,0.4022208513263418,0.2275901622745118,10.4,10.4,5.851495535331118,4,10.0,18,0.5989201116768033,0.8079254879043241,0.571593714309332,0.8837475492260437,0.6101533494753835,0.7833395522388059,0.6101426469244504,0.7833911483253586,0.5652173913043478,0.8813615075825155,0.5332978723404256,0.8281361607142856,0.5757314524555904,0.8194444444444444,0.6041666666666666,0.8363729128014842,0.2137756222502424,0.5534688879712902,0.1804969659842888,0.2824542863723991,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,4,1.9259259259259258
ExtraTrees,0.726285795986753,0.0975764998487094,0.69421875,0.6942187499999999,0.6909048938134811,0.7628026444491034,0.1245093095681817,0.7639116590376783,0.6729343120647469,0.1261363332471181,0.6666666666666666,0.6949375332270069,0.1082158919127667,0.676875,0.74,0.1638427430325934,0.76,0.62093567251462,0.3498688044035815,0.59375,0.6109450549450549,0.2562747254579723,0.6666666666666666,0.7689393939393938,0.1574591643244434,0.76,0.3623212490511069,0.225204490916424,0.3432383262583384,0.2285801628586646,10.4,10.4,5.851495535331118,4,10.0,18,0.5739236914401389,0.806215645564702,0.5844468303370547,0.8868561484796124,0.5546149981731824,0.7734493885869564,0.5618825841903926,0.7803808267726343,0.5454545454545454,0.904125896934116,0.4230769230769231,0.7534351949420443,0.5,0.7887323943661971,0.618168449197861,0.8889492753623185,0.1190218337805382,0.5457538884419414,0.2061463278350282,0.2550393923769602,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,4,1.9259259259259258
