file_name,old_column_name,cleaned_column_name,final_column_name
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_MinimumIntensity(IBSI:1GSF)[],Post1_IB_MinimumIntensity,Post1_IB_MinimumIntensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_10thIntensityPercentile(IBSI:QG58)[],Post1_IB_10thIntensityPercentile,Post1_IB_10thIntensityPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_25thIntensityPercentile(IBSI:No)[],Post1_IB_25thIntensityPercentile,Post1_IB_25thIntensityPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_50thIntensityPercentile(IBSI:Y12H)[],Post1_IB_50thIntensityPercentile,Post1_IB_50thIntensityPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_75thIntensityPercentile(IBSI:No)[],Post1_IB_75thIntensityPercentile,Post1_IB_75thIntensityPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_90thIntensityPercentile(IBSI:8DWT)[],Post1_IB_90thIntensityPercentile,Post1_IB_90thIntensityPercentile
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_StandardDeviation(IBSI:No)[],Post1_IB_StandardDeviation,Post1_IB_StandardDeviation
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_MaximumIntensity(IBSI:84IY)[],Post1_IB_MaximumIntensity,Post1_IB_MaximumIntensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityInterquartileRange(IBSI:SALO)[],Post1_IB_IntensityInterquartileRange,Post1_IB_IntensityInterquartileRange
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityRange(IBSI:2OJQ)[],Post1_IB_IntensityRange,Post1_IB_IntensityRange
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityBasedMeanAbsoluteDeviation(IBSI:4FUA)[],Post1_IB_IntensityBasedMeanAbsoluteDeviation,Post1_IB_IntensityBasedMeanAbsoluteDeviation
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityBasedRobustMeanAbsoluteDeviation(IBSI:1128)[],Post1_IB_IntensityBasedRobustMeanAbsoluteDeviation,Post1_IB_IntensityBasedRobustMeanAbsoluteDeviation
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityBasedMedianAbsoluteDeviation(IBSI:N72L)[],Post1_IB_IntensityBasedMedianAbsoluteDeviation,Post1_IB_IntensityBasedMedianAbsoluteDeviation
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityBasedCoefficientOfVariation(IBSI:7TET)[],Post1_IB_IntensityBasedCoefficientOfVariation,Post1_IB_IntensityBasedCoefficientOfVariation
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityBasedQuartileCoefficientOfDispersion(IBSI:9S40)[],Post1_IB_IntensityBasedQuartileCoefficientOfDispersion,Post1_IB_IntensityBasedQuartileCoefficientOfDispersion
