Fold,n_train,n_test,n_features,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",NaiveBayes,0.75,0.5806451612903226,0.5666666666666667,0.7500353964992122,0.5517241379310345,1.0,0.7111111111111111,0.13333333333333333,0.418640522875817
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",XGBoost,0.675,0.6774193548387096,0.68125,0.6775069502865555,0.75,0.5625,0.6428571428571429,0.8,0.6473986928104576
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",LightGBM,0.6583333333333334,0.5806451612903226,0.5854166666666667,0.6220292767597678,0.6363636363636364,0.4375,0.5185185185185185,0.7333333333333333,0.5085098039215686
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",LogisticRegression,0.425,0.5,0.425,0.6240552484795906,0.5714285714285714,0.75,0.6486486486486487,0.1,0.6572026143790849
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",SVM_RBF,0.4,0.5,0.425,0.6316624251221774,0.5714285714285714,0.75,0.6486486486486487,0.1,0.6964183006535948
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",SVM_Linear,0.39375,0.5,0.425,0.6108290917888441,0.5714285714285714,0.75,0.6486486486486487,0.1,0.6702745098039216
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",RandomForest,0.5625,0.5,0.44375,0.7397286741036742,0.5789473684210527,0.6875,0.6285714285714286,0.2,0.6114509803921568
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",GradientBoosting,0.38749999999999996,0.5384615384615384,0.475,0.5695249925513083,0.6,0.75,0.6666666666666666,0.2,0.5966373626373627
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",ExtraTrees,0.3375,0.38461538461538464,0.33125,0.5847739481231329,0.5,0.5625,0.5294117647058824,0.1,0.6114509803921568
4,91,26,16,"['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",KNN,0.5125,0.5384615384615384,0.4375,0.7006096711259755,0.5833333333333334,0.875,0.7,0.0,0.5581758241758241
