Pair_Tag,Dataset_A,Dataset_B,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
ADC_Post2,ADC,Post2,ExtraTrees,0.7121531445694125,0.1273892688548015,0.6196875,0.781341415347024,0.1138377434200469,0.720657719937857,0.5936252153643458,0.0957273295589789,0.5877192982456141,0.6174700007594744,0.0854411548192507,0.59125,0.6789321789321789,0.1201700551155313,0.6545454545454545,0.6082083997873472,0.1817788977337012,0.5625,0.6098617724104981,0.0884070716558472,0.6050420168067226,0.6267316017316018,0.1849625042471088,0.62,12.8,12.8,4.833218389437829,4,14.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post2/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,40,5,1.6
ADC_Post2,ADC,Post2,LogisticRegression,0.7094767106011125,0.0872727610936158,0.660625,0.7575103745850875,0.1488257666760982,0.766524068258899,0.6173102260058781,0.0965852288723525,0.6140350877192983,0.6586097820308346,0.0898960009513271,0.6212500000000001,0.7251948051948053,0.1916270623295022,0.6923076923076923,0.6035832004253057,0.1831197389213766,0.5625,0.622441790093964,0.1034988898714211,0.6206896551724138,0.7136363636363636,0.1926329100037917,0.68,12.8,12.8,4.833218389437829,4,14.0,18,corr_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Post2/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,40,5,1.6
ADC_Pre,ADC,Pre,SVM_Linear,0.7571619935974003,0.0645553850738406,0.6690625,0.7694451807768414,0.0983534470510227,0.6884476265048114,0.659314598445033,0.072121567969785,0.6578947368421053,0.6832594744436851,0.0414639213849749,0.6428125,0.6894117647058824,0.1429980521076228,0.6712328767123288,0.8125146198830411,0.1808867880601842,0.765625,0.7132807881773399,0.0731507660918516,0.7153284671532847,0.5540043290043289,0.1780098739578124,0.52,12.0,12.0,4.1952353926806065,8,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,28,5,2.142857142857143
ADC_Pre,ADC,Pre,SVM_RBF,0.7463391030376675,0.0728945269348813,0.69875,0.7936092739199947,0.0625674053695577,0.7444937432626919,0.6336981858720989,0.0419478888007267,0.631578947368421,0.6422241209083314,0.0445799277076752,0.6325000000000001,0.6883333333333334,0.1180395413975051,0.6896551724137931,0.6387772461456672,0.2206160514147505,0.625,0.6322860791826308,0.1242950406192398,0.6557377049180327,0.6456709956709957,0.1682691277491518,0.64,8.8,8.8,4.833218389437829,4,8.0,18,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,34,4,1.2941176470588236
ADC_Pre,ADC,Pre,SVM_Linear,0.7410646565909723,0.0751719736982499,0.6840625,0.7447090059704912,0.113440704115997,0.6886586211516726,0.641923294097207,0.0727189108350265,0.6403508771929824,0.6685951621477938,0.0646691335135866,0.6446875000000001,0.73003663003663,0.1622326085793243,0.7090909090909091,0.6349175970228601,0.1987523788809883,0.609375,0.643114791810444,0.1038241611348103,0.6554621848739496,0.7022727272727273,0.1988488450487626,0.68,12.0,12.0,4.1952353926806065,8,10.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,28,5,2.142857142857143
ADC_Pre,ADC,Pre,SVM_RBF,0.7325205288243566,0.0687984025723044,0.6734375,0.7789900490902436,0.0784559182483267,0.7288628379468061,0.632437128089302,0.0514857297040888,0.631578947368421,0.6500018986861092,0.0237981672610164,0.6171875,0.6688888888888889,0.1408352509183498,0.6527777777777778,0.772514619883041,0.1792238814594006,0.734375,0.6859735059156639,0.0661771452541692,0.6911764705882353,0.5274891774891775,0.1881967106819574,0.5,8.8,8.8,4.833218389437829,4,8.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,34,4,1.2941176470588236
ADC_Pre,ADC,Pre,SVM_RBF,0.6955157176688277,0.1170391191736852,0.6,0.7463754618965338,0.1237357122115128,0.67332303623528,0.5710275232014362,0.0559465741480674,0.5701754385964912,0.558375104427736,0.0716253695058692,0.558125,0.5148792270531402,0.2913402209907912,0.6086956521739131,0.6619883040935672,0.3940218779627075,0.65625,0.5388471177944861,0.2781751669066108,0.631578947368421,0.4547619047619047,0.418153808675409,0.46,9.6,9.6,5.276362383309167,4,10.0,18,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Pre/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,35,3,1.3714285714285714
ADC_Pre,ADC,Pre,LogisticRegression,0.6792866003392318,0.1202642678271809,0.64375,0.7021095946972914,0.1683818691772647,0.6822253919031444,0.6076488728662641,0.1018493439903999,0.6052631578947368,0.6564486975013291,0.0906397433290666,0.59375,0.6989533342474519,0.1823482221103669,0.6376811594202898,0.7553216374269006,0.257927382532831,0.6875,0.6627825877825877,0.0799218666507367,0.6616541353383458,0.5575757575757576,0.333147331024822,0.5,9.6,9.6,5.276362383309167,4,10.0,18,corr_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_Pre/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,35,3,1.3714285714285714
ADC_T2,ADC,T2,SVM_RBF,0.8015481081031319,0.0398236022754605,0.7390625000000001,0.8418781897663958,0.058205264147972,0.7816540913636056,0.7378693769998117,0.131807960603997,0.7280701754385965,0.7608466241360978,0.0815210475624748,0.7381249999999999,0.8520634920634921,0.0948266243590205,0.8235294117647058,0.7027538543328017,0.222251132988593,0.65625,0.7349542483660131,0.140003297838043,0.7304347826086957,0.818939393939394,0.1567358149960606,0.82,11.6,11.6,4.079215610874228,6,10.0,18,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,29,5,2.0
ADC_T2,ADC,T2,SVM_RBF,0.7933914561426523,0.0463640931604328,0.733125,0.836040629493851,0.0610463029809551,0.7772572128964146,0.7105590062111802,0.1184806954175268,0.7017543859649122,0.7316799574694313,0.0784583695457054,0.7059375,0.7975,0.1073545527679194,0.7678571428571429,0.72093567251462,0.2412903765007373,0.671875,0.7155560586052945,0.1320471025466727,0.7166666666666667,0.7424242424242424,0.1899688244685755,0.74,11.6,11.6,4.079215610874228,6,10.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_pairwise_concat_batch_smote_compare/ADC_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,2.0
