Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
RandomForest,0.7265035522691026,0.1322361523291274,0.6821875,0.7879775060394255,0.1391174034167893,0.7465198475633081,0.6035906122862644,0.0788981769480216,0.6052631578947368,0.6155282144755828,0.0975253324558514,0.6025,0.6411904761904761,0.1813116733762454,0.6557377049180327,0.6323551302498671,0.1945808432011274,0.625,0.6189969531363351,0.1435044661635381,0.64,0.5987012987012987,0.1492147571741824,0.58,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
KNN,0.7208469981197254,0.1179085916888068,0.6323437500000001,0.7580102521604071,0.1133831186804127,0.704960893101108,0.5873778395517526,0.0355872018549978,0.5877192982456141,0.6147315257841575,0.0514494446786722,0.5759375,0.6577777777777778,0.1913435279255934,0.6231884057971014,0.7082509303561935,0.1602190670188414,0.671875,0.6415220167693931,0.0593358241947353,0.6466165413533834,0.5212121212121212,0.2503166039316144,0.48,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
LightGBM,0.715126993332735,0.1069749295772633,0.661875,0.7479794680628927,0.1657569272926363,0.7118309075438636,0.5722132939524244,0.0679827440696079,0.5701754385964912,0.6070946305156831,0.0815645719405796,0.5690625,0.6594805194805196,0.1866510044911586,0.6271186440677966,0.6217650186071239,0.1983757893708044,0.578125,0.5987822547822548,0.0871867880430616,0.6016260162601627,0.5924242424242424,0.2079900753442087,0.56,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
ExtraTrees,0.7091610914338187,0.1257999333807151,0.5925000000000001,0.7867957078435247,0.1245790651731143,0.7253284682772752,0.5835309617918314,0.1163988186965421,0.5789473684210527,0.6141799574694311,0.1217410207262004,0.5856250000000001,0.6862515262515263,0.1939349967807531,0.6538461538461539,0.573056884635832,0.210354723082893,0.53125,0.5860076277650649,0.1277670106822226,0.5862068965517241,0.6553030303030304,0.2250395333088888,0.64,11.2,11.2,5.1536394906900505,4,14.0,16,corr_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k,corr_mrmr,auto,False,43,4,1.302325581395349
XGBoost,0.7069099746611709,0.1774058932284513,0.6224999999999999,0.7736421991692762,0.18899106495699,0.7038351335259676,0.559497024714416,0.1064165130277917,0.5614035087719298,0.5844317232475127,0.12071196276351,0.5546875,0.6122727272727272,0.2057218695309416,0.609375,0.631525784157363,0.2340505980328822,0.609375,0.5925584045584045,0.1521921155813582,0.609375,0.5373376623376622,0.1860074478017793,0.5,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
RandomForest,0.70637669702263,0.116438019713927,0.61875,0.7647426869756455,0.1353109023179007,0.636632504388364,0.6167397819571734,0.113485005858475,0.6140350877192983,0.6410951621477938,0.1212806555646588,0.6168750000000001,0.6885914085914085,0.1916570166821474,0.6785714285714286,0.6215842636895268,0.1984111321594503,0.59375,0.6270899470899471,0.1328324344516023,0.6333333333333333,0.6606060606060605,0.1829761107812185,0.64,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
GradientBoosting,0.7056866281866281,0.0982827230867215,0.6592187500000001,0.7604078041339873,0.1477549717792304,0.7687784148605737,0.5930634582808495,0.0873584890800803,0.5964912280701754,0.6232913723703197,0.0841181661824982,0.575,0.645979020979021,0.1683975761552002,0.6153846153846154,0.7925784157363104,0.1783274648111766,0.75,0.6742250712250712,0.0586904361935579,0.676056338028169,0.4540043290043289,0.2872079055794636,0.4,10.4,10.4,5.571355310873647,4,8.0,18,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,29,5,1.793103448275862
ExtraTrees,0.6997651267746962,0.1089366289344068,0.6231249999999999,0.7708328642437741,0.1164071030847717,0.7016026757245472,0.6003518220909525,0.0991672311370446,0.5964912280701754,0.6300744284954811,0.1006480200029329,0.6012500000000001,0.6899766899766899,0.1760485556037222,0.6666666666666666,0.5995427963849016,0.1716277670947862,0.5625,0.6114489214489215,0.1010101590012046,0.6101694915254238,0.6606060606060605,0.1829761107812185,0.64,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
NaiveBayes,0.6980008446276388,0.0954490699115826,0.5175,0.761567386925512,0.1400324611349562,0.6260280181566076,0.5518800040539171,0.1036578426953598,0.5526315789473685,0.6027365762892078,0.122968365490734,0.5359375,0.6730158730158731,0.2290559239053644,0.589041095890411,0.7304731525784157,0.2099258762499816,0.671875,0.632111318892525,0.0435719595144063,0.6277372262773723,0.475,0.4213074886588179,0.4,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
GradientBoosting,0.6968880419598122,0.141734956889269,0.6300000000000001,0.7510450375640844,0.1534885131304593,0.6963893851783103,0.579510344727736,0.0475990970953483,0.5789473684210527,0.6057668793195108,0.0785209892477185,0.5659375,0.6480971659919028,0.1881153969967161,0.6142857142857143,0.7153216374269006,0.2066049345676978,0.671875,0.6361996779388084,0.0725178828178301,0.6417910447761194,0.4962121212121212,0.2573305428130575,0.46,14.4,14.4,4.8,6,18.0,18,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_all_triple_concat_batch/ADC_Post2_Pre/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,53,4,1.3584905660377358
