Threshold,TN,FP,FN,TP,Accuracy,Balanced_Accuracy,Sensitivity_Recall,Specificity,PPV_Precision,NPV,F1,Cohen_Kappa,Youden_J
0.43,11,41,7,58,0.5897435897435898,0.551923076923077,0.8923076923076924,0.21153846153846154,0.5858585858585859,0.6111111111111112,0.7073170731707317,0.11111111111111116,0.10384615384615392
0.44,11,41,8,57,0.5811965811965812,0.5442307692307692,0.8769230769230769,0.21153846153846154,0.5816326530612245,0.5789473684210527,0.6993865030674846,0.09445585215605756,0.08846153846153837
0.45,12,40,10,55,0.5726495726495726,0.5384615384615384,0.8461538461538461,0.23076923076923078,0.5789473684210527,0.5454545454545454,0.6875,0.08163265306122447,0.07692307692307687
0.46,15,37,10,55,0.5982905982905983,0.5673076923076923,0.8461538461538461,0.28846153846153844,0.5978260869565217,0.6,0.7006369426751592,0.14198782961460432,0.13461538461538458
0.47,19,33,11,54,0.6239316239316239,0.5980769230769231,0.8307692307692308,0.36538461538461536,0.6206896551724138,0.6333333333333333,0.7105263157894737,0.20481927710843362,0.19615384615384612
0.48,19,33,11,54,0.6239316239316239,0.5980769230769231,0.8307692307692308,0.36538461538461536,0.6206896551724138,0.6333333333333333,0.7105263157894737,0.20481927710843362,0.19615384615384612
0.49,19,33,14,51,0.5982905982905983,0.575,0.7846153846153846,0.36538461538461536,0.6071428571428571,0.5757575757575758,0.6845637583892618,0.15568862275449113,0.1499999999999999
0.5,19,33,15,50,0.5897435897435898,0.5673076923076923,0.7692307692307693,0.36538461538461536,0.6024096385542169,0.5588235294117647,0.6756756756756757,0.1394422310756971,0.13461538461538458
0.51,22,30,15,50,0.6153846153846154,0.5961538461538461,0.7692307692307693,0.4230769230769231,0.625,0.5945945945945946,0.6896551724137931,0.19801980198019808,0.1923076923076923
0.52,24,28,15,50,0.6324786324786325,0.6153846153846154,0.7692307692307693,0.46153846153846156,0.6410256410256411,0.6153846153846154,0.6993006993006993,0.23668639053254437,0.23076923076923084
0.53,25,27,17,48,0.6239316239316239,0.6096153846153847,0.7384615384615385,0.4807692307692308,0.64,0.5952380952380952,0.6857142857142857,0.22352941176470598,0.21923076923076934
0.54,28,24,17,48,0.6495726495726496,0.6384615384615384,0.7384615384615385,0.5384615384615384,0.6666666666666666,0.6222222222222222,0.7007299270072993,0.2807017543859649,0.2769230769230768
0.55,30,22,21,44,0.6324786324786325,0.6269230769230769,0.676923076923077,0.5769230769230769,0.6666666666666666,0.5882352941176471,0.6717557251908397,0.2543352601156069,0.25384615384615383
0.56,30,22,22,43,0.6239316239316239,0.6192307692307693,0.6615384615384615,0.5769230769230769,0.6615384615384615,0.5769230769230769,0.6615384615384615,0.2384615384615385,0.2384615384615385
0.57,34,18,24,41,0.6410256410256411,0.6423076923076922,0.6307692307692307,0.6538461538461539,0.6949152542372882,0.5862068965517241,0.6612903225806451,0.28136882129277563,0.2846153846153845
0.58,36,16,26,39,0.6410256410256411,0.6461538461538461,0.6,0.6923076923076923,0.7090909090909091,0.5806451612903226,0.65,0.2867924528301886,0.29230769230769216
0.59,37,15,28,37,0.6324786324786325,0.6403846153846153,0.5692307692307692,0.7115384615384616,0.7115384615384616,0.5692307692307692,0.6324786324786325,0.2739212007504691,0.28076923076923066
0.6,39,13,32,33,0.6153846153846154,0.6288461538461538,0.5076923076923077,0.75,0.717391304347826,0.5492957746478874,0.5945945945945946,0.24860853432282004,0.25769230769230766
0.61,41,11,36,29,0.5982905982905983,0.6173076923076923,0.4461538461538462,0.7884615384615384,0.725,0.5324675324675324,0.5523809523809524,0.22385321100917432,0.23461538461538467
0.62,43,9,38,27,0.5982905982905983,0.6211538461538462,0.4153846153846154,0.8269230769230769,0.75,0.5308641975308642,0.5346534653465347,0.2295081967213115,0.24230769230769234
0.63,44,8,42,23,0.5726495726495726,0.6,0.35384615384615387,0.8461538461538461,0.7419354838709677,0.5116279069767442,0.4791666666666667,0.18772563176895307,0.19999999999999996
0.64,45,7,42,23,0.5811965811965812,0.6096153846153847,0.35384615384615387,0.8653846153846154,0.7666666666666667,0.5172413793103449,0.4842105263157895,0.20540540540540542,0.21923076923076934
0.65,46,6,48,17,0.5384615384615384,0.573076923076923,0.26153846153846155,0.8846153846153846,0.7391304347826086,0.48936170212765956,0.38636363636363635,0.13523131672597866,0.14615384615384608
0.66,46,6,49,16,0.5299145299145299,0.5653846153846154,0.24615384615384617,0.8846153846153846,0.7272727272727273,0.4842105263157895,0.367816091954023,0.12078152753108351,0.13076923076923075
0.67,47,5,49,16,0.5384615384615384,0.575,0.24615384615384617,0.9038461538461539,0.7619047619047619,0.4895833333333333,0.37209302325581395,0.13829787234042556,0.1499999999999999
0.68,47,5,50,15,0.5299145299145299,0.5673076923076923,0.23076923076923078,0.9038461538461539,0.75,0.4845360824742268,0.35294117647058826,0.12389380530973437,0.13461538461538458
0.69,49,3,50,15,0.5470085470085471,0.5865384615384616,0.23076923076923078,0.9423076923076923,0.8333333333333334,0.494949494949495,0.3614457831325301,0.15873015873015872,0.17307692307692313
0.7,49,3,52,13,0.5299145299145299,0.5711538461538461,0.2,0.9423076923076923,0.8125,0.48514851485148514,0.32098765432098764,0.1300527240773287,0.14230769230769225
0.71,50,2,52,13,0.5384615384615384,0.5807692307692308,0.2,0.9615384615384616,0.8666666666666667,0.49019607843137253,0.325,0.14736842105263148,0.16153846153846163
0.72,50,2,53,12,0.5299145299145299,0.573076923076923,0.18461538461538463,0.9615384615384616,0.8571428571428571,0.4854368932038835,0.3037974683544304,0.13309982486865146,0.14615384615384608
0.73,50,2,53,12,0.5299145299145299,0.573076923076923,0.18461538461538463,0.9615384615384616,0.8571428571428571,0.4854368932038835,0.3037974683544304,0.13309982486865146,0.14615384615384608
0.74,50,2,54,11,0.5213675213675214,0.5653846153846154,0.16923076923076924,0.9615384615384616,0.8461538461538461,0.4807692307692308,0.28205128205128205,0.11888111888111885,0.13076923076923075
0.75,50,2,55,10,0.5128205128205128,0.5576923076923077,0.15384615384615385,0.9615384615384616,0.8333333333333334,0.47619047619047616,0.2597402597402597,0.10471204188481686,0.11538461538461542
0.76,50,2,55,10,0.5128205128205128,0.5576923076923077,0.15384615384615385,0.9615384615384616,0.8333333333333334,0.47619047619047616,0.2597402597402597,0.10471204188481686,0.11538461538461542
0.77,50,2,55,10,0.5128205128205128,0.5576923076923077,0.15384615384615385,0.9615384615384616,0.8333333333333334,0.47619047619047616,0.2597402597402597,0.10471204188481686,0.11538461538461542
0.78,50,2,57,8,0.49572649572649574,0.5423076923076924,0.12307692307692308,0.9615384615384616,0.8,0.4672897196261682,0.21333333333333335,0.0765217391304347,0.08461538461538476
0.79,50,2,57,8,0.49572649572649574,0.5423076923076924,0.12307692307692308,0.9615384615384616,0.8,0.4672897196261682,0.21333333333333335,0.0765217391304347,0.08461538461538476
0.8,50,2,58,7,0.48717948717948717,0.5346153846153846,0.1076923076923077,0.9615384615384616,0.7777777777777778,0.46296296296296297,0.1891891891891892,0.0625,0.0692307692307692
0.81,51,1,60,5,0.47863247863247865,0.5288461538461539,0.07692307692307693,0.9807692307692307,0.8333333333333334,0.4594594594594595,0.14084507042253522,0.051813471502590636,0.05769230769230771
0.82,51,1,60,5,0.47863247863247865,0.5288461538461539,0.07692307692307693,0.9807692307692307,0.8333333333333334,0.4594594594594595,0.14084507042253522,0.051813471502590636,0.05769230769230771
0.83,51,1,60,5,0.47863247863247865,0.5288461538461539,0.07692307692307693,0.9807692307692307,0.8333333333333334,0.4594594594594595,0.14084507042253522,0.051813471502590636,0.05769230769230771
0.84,51,1,61,4,0.4700854700854701,0.5211538461538461,0.06153846153846154,0.9807692307692307,0.8,0.45535714285714285,0.11428571428571428,0.037931034482758585,0.04230769230769216
0.85,51,1,61,4,0.4700854700854701,0.5211538461538461,0.06153846153846154,0.9807692307692307,0.8,0.45535714285714285,0.11428571428571428,0.037931034482758585,0.04230769230769216
0.86,51,1,62,3,0.46153846153846156,0.5134615384615384,0.046153846153846156,0.9807692307692307,0.75,0.45132743362831856,0.08695652173913043,0.024096385542168752,0.026923076923076827
0.87,51,1,64,1,0.4444444444444444,0.4980769230769231,0.015384615384615385,0.9807692307692307,0.5,0.4434782608695652,0.029850746268656716,-0.0034305317324185847,-0.0038461538461538325
0.88,52,0,64,1,0.452991452991453,0.5076923076923077,0.015384615384615385,1.0,1.0,0.4482758620689655,0.030303030303030304,0.013698630136986245,0.01538461538461533
0.89,52,0,64,1,0.452991452991453,0.5076923076923077,0.015384615384615385,1.0,1.0,0.4482758620689655,0.030303030303030304,0.013698630136986245,0.01538461538461533
0.9,52,0,64,1,0.452991452991453,0.5076923076923077,0.015384615384615385,1.0,1.0,0.4482758620689655,0.030303030303030304,0.013698630136986245,0.01538461538461533
0.91,52,0,65,0,0.4444444444444444,0.5,0.0,1.0,,0.4444444444444444,0.0,0.0,0.0
0.92,52,0,65,0,0.4444444444444444,0.5,0.0,1.0,,0.4444444444444444,0.0,0.0,0.0
0.93,52,0,65,0,0.4444444444444444,0.5,0.0,1.0,,0.4444444444444444,0.0,0.0,0.0
0.94,52,0,65,0,0.4444444444444444,0.5,0.0,1.0,,0.4444444444444444,0.0,0.0,0.0
0.95,52,0,65,0,0.4444444444444444,0.5,0.0,1.0,,0.4444444444444444,0.0,0.0,0.0
