feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
IH_RootMeanSquare_Intensity,116,0.018813149249999998,0.013785390921875,0.014291440499999999,0.0118980245,6.600383714694909e-08,0.0016898949650649814,False,Spearman,-0.16669131967570125,0.07370953460138409,Mann_Whitney_U,1986.0,0.07429546159303714,-0.40825827061487857,0.12008856760899655,0.1210431677639369
NGTDM_Contrast,116,0.2783010701730769,0.309848451671875,0.162015366,0.25753272149999995,6.8213280440842895e-09,0.0006027619915565904,False,Spearman,0.1584085211824987,0.08943671023151366,Mann_Whitney_U,1358.0,0.08989224043233038,0.11471872793606011,0.14409247759521646,0.14482638736319894
IH_MaximumHistogramGradientGreyLevel_Intensity,116,10.096153846153847,12.046875,10.0,11.0,0.21084694302706916,0.05120962397109083,True,Pearson_point_biserial_equivalent,0.14823233509327685,0.11228463260451943,Welch_t_test,-1.6568407733746509,0.10034965020138296,0.2987839404400791,0.1750674379317776,0.15989779427692888
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,116,0.2726574362692307,0.294467708015625,0.2,0.272727273,0.0005561142881845344,0.01931508941363828,False,Spearman,0.15020716255777833,0.10752768521519668,Mann_Whitney_U,1374.0,0.1078318636323673,0.1391911037606433,0.16947298213264694,0.16995239376840496
GLCM_Correlation,116,0.5024072572499999,0.5374010377656249,0.5094954655,0.5390955694999999,0.20122506709728558,0.4341185727616283,True,Pearson_point_biserial_equivalent,0.1527051150702854,0.10173793669074672,Welch_t_test,-1.6076208432180934,0.11124492018995928,0.3080115084169892,0.1621098991226184,0.17344638094133435
IH_MinimumHistogramGradient_Intensity,116,-161.35576923076923,-68.046875,-18.0,-12.0,1.812972958408998e-14,1.2108230837447303e-15,False,Spearman,0.13956114426975488,0.13513280746763232,Mann_Whitney_U,1394.5,0.13521486474617658,0.22977302012957304,0.20844954343411368,0.20857612115101706
GLSZM_LowGrayLevelZoneEmphasis,116,0.05701946373076923,0.034946074390625005,0.036053562,0.028533844500000002,9.313559788662461e-13,1.399180455925893e-13,False,Spearman,-0.13666617513784202,0.14350230221331114,Mann_Whitney_U,1928.0,0.1435205447113606,-0.3017715106481269,0.21902982969400123,0.21905767350681354
Morph_Maximum3DDiameter_mm,116,15.974798235307691,17.6290319455625,13.029657910000001,13.656193524999999,4.8283519754171244e-11,6.799067348707709e-09,False,Spearman,0.1291611303226309,0.16702135822923392,Mann_Whitney_U,1414.5,0.16687252727508906,0.14538089348518263,0.25227184315873874,0.2520470464050824
IH_IntensityHistogramSkewness_Intensity,116,0.23119094617307695,0.006004921500000003,0.037372086,-0.1117377715,0.0060912296590378365,4.764383156454452e-08,False,Spearman,-0.1278657017388143,0.171354797445177,Mann_Whitney_U,1911.0,0.17117715409668843,-0.2676169272353285,0.2561489240159862,0.2558833746806167
IB_TotalLesionGlycolysis,116,1061.3450414984422,506.0769112945312,83.89918722,133.2741946,8.807689145643774e-16,6.605706152347125e-13,False,Spearman,0.12475965230386335,0.18208244244296679,Mann_Whitney_U,1423.0,0.1818362573291874,-0.1322595032530168,0.26940769545132837,0.2690434419666548
