feature,variance,log10_variance
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.055946240936467356,-1.252229088670207
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.0577681543391841,-1.2383115076996825
Post1_IB_IntensityBasedCoefficientOfVariation,0.05839881899520508,-1.2335959355694062
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.06062019990261989,-1.2173826358190087
Pre_IH_IntensityHistogramEntropyLog10_Intensity,0.06222735770807191,-1.2060186395865162
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.065760904624296,-1.1820322211512178
T2_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.06576858593259245,-1.1819814956478107
Pre_IB_IntensityBasedCoefficientOfVariation,0.06884470609037686,-1.16212944979627
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,0.06928647138654181,-1.1593515557966398
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.07084698735428864,-1.149678612640118
Post1_IH_IntensityHistogramEntropyLog10_Intensity,0.07366114864210048,-1.1327615132102564
Post1_NGTDM_Contrast,0.07456600142097274,-1.1274591451879203
Post2_IH_IntensityHistogramEntropyLog10_Intensity,0.07562287020973116,-1.1213468433312348
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.08065007112128607,-1.0933952452867648
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.0831001637031243,-1.0803981206716313
Pre_NGTDM_Contrast,0.0860333206760284,-1.065333314064563
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,0.08687832757230797,-1.0610885479379475
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.08752836064104466,-1.0578512055526303
Pre_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,0.09104041519366278,-1.0407657703213702
Post2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.10292889084031302,-0.987462707143456
T2_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,0.10978276370766643,-0.9594658403396528
