Model,Mean_AUC,Std_AUC,Pooled_AUC,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Mean_PR_AUC,Std_PR_AUC,Pooled_PR_AUC,Mean_Acc,Std_Acc,Pooled_Acc,Mean_Bal_Acc,Std_Bal_Acc,Pooled_Bal_Acc,Mean_Prec,Std_Prec,Pooled_Prec,Mean_Rec,Std_Rec,Pooled_Rec,Mean_F1,Std_F1,Pooled_F1,Mean_Specificity,Std_Specificity,Pooled_Specificity,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Brier,Avg_Features,Mean_Selected_K,Std_Selected_K,Min_Selected_K,Median_Selected_K,Max_Selected_K,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful,Run_Name,Run_Dir,Experiment_ID,FS_METHOD,FS_N_FEATURES,USE_SMOTE,N_Unique_Selected_Features,Max_Selection_Count,Mean_Selection_Count
XGBoost,0.7224267394841558,0.0682476820839327,0.6709375,0.6709375,0.6659741458910433,0.7668359214433383,0.0609951034938398,0.7193386791285534,0.6095802747976661,0.0756761448411438,0.6052631578947368,0.6226068960279486,0.0774035764653475,0.5959375,0.6630844645550528,0.1151617293448194,0.6417910447761194,0.7177246145667198,0.1839854834609945,0.671875,0.6567881192881193,0.0758325985442005,0.6564885496183206,0.5274891774891775,0.2157060801707256,0.52,0.2255912429413422,0.1567872477822376,0.1931424976407675,0.268692964717574,13.2,13.2,6.013318551349164,4,18.0,18,0.5490392078681551,0.7862508841352678,0.5232053609154079,0.8632450521535058,0.4953248776145972,0.7154489066442389,0.4878358006123133,0.7021436524379985,0.4520437472381794,0.8000581395348835,0.5,0.8235294117647058,0.5037213740458016,0.7742049068605179,0.3657982261640799,0.680875241779497,-0.0238609484664003,0.4070664454594676,0.1966622720423696,0.3455062526861645,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,False,27,5,2.4444444444444446
NaiveBayes,0.722107886796882,0.0796762071204925,0.67421875,0.6742187499999999,0.6748614958448753,0.7669936466171058,0.1241012457242885,0.705342378164023,0.6332652854391985,0.0349316653516918,0.631578947368421,0.597454431533379,0.0570371797137488,0.615,0.6510708589655958,0.0779524543100352,0.6486486486486487,0.7463157894736842,0.1894788823198594,0.75,0.6770121381886087,0.0737749496610933,0.6956521739130435,0.4485930735930735,0.2458544807486045,0.48,0.1963076122016518,0.1145011791012003,0.2351437699680511,0.2793765008070573,8.8,8.8,4.48998886412873,4,6.0,16,0.5518403384713173,0.7753722002635046,0.5162248351136961,0.8548909685807659,0.5172224327396742,0.7226987718164188,0.5058812178387649,0.6998608870174706,0.4590163934426229,0.785734349919743,0.5969933983926521,0.8656761922096832,0.5376194743130227,0.7929222839016653,0.3156725146198832,0.6166666666666667,0.0114924594874259,0.4025756264468818,0.2079192281097395,0.369721647371668,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.5172413793103448
NaiveBayes,0.7217460202388432,0.0812152073843141,0.6807812500000001,0.6807812500000001,0.6844028931979069,0.7665763446208564,0.1262575354376132,0.7078008096342536,0.6343062734367082,0.0679839117260515,0.631578947368421,0.6064336978810663,0.0579554754337851,0.6215625,0.6584795321637427,0.0718665627765786,0.6617647058823529,0.6976076555023922,0.2019404302616148,0.703125,0.6583644710152663,0.104099138583211,0.6818181818181818,0.5152597402597403,0.204990011416764,0.54,0.2214781291951715,0.1233109222519989,0.2452711223203025,0.2741176955532547,8.8,8.8,4.48998886412873,4,6.0,16,0.5603374323867478,0.7792558640902977,0.5214562720689946,0.8570545736357319,0.5263044464609801,0.7152804487179487,0.5148577219349278,0.7045223398724035,0.4761038961038962,0.7974683544303798,0.5666304347826088,0.8269230769230769,0.5346534653465347,0.7750189393939393,0.3749273255813954,0.6666666666666666,0.0283665601130752,0.4014383500266794,0.2054408905585693,0.3607614859842794,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,True,29,4,1.5172413793103448
SVM_RBF,0.7194894375516385,0.085081699968171,0.68125,0.68125,0.6880193905817175,0.7897245939515274,0.079603598149521,0.726074934421272,0.695715878324574,0.0830261439931858,0.6929824561403509,0.6962392724234829,0.0460073041149921,0.685,0.7251923076923077,0.1166856141277865,0.7164179104477612,0.7702923976608187,0.2109801476142307,0.75,0.7191355260320778,0.0974641535683763,0.732824427480916,0.6221861471861472,0.1906336667017552,0.62,0.3847217828368087,0.1174915270217843,0.372444164831708,0.2245833762679553,8.8,8.8,4.48998886412873,4,6.0,16,0.5397471590909092,0.8094623457107307,0.5122544708469564,0.8911910925595227,0.5826754536117768,0.7889926175458716,0.5818691018720824,0.7786826670782527,0.5237912087912089,0.8548387096774194,0.5913670015864623,0.887102453430259,0.5762644067796611,0.8344622348897643,0.4571273291925466,0.763663101604278,0.1572737401033518,0.552486594483813,0.1830336845160154,0.2718764699719961,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.5172413793103448
KNN,0.711406258989991,0.0582948587323622,0.69640625,0.69640625,0.7115650969529086,0.7342908193467321,0.081117610224614,0.7161931771569332,0.672859025032938,0.1043321876465009,0.6666666666666666,0.6582991569833675,0.1080063897748832,0.6571875,0.6962538699690402,0.0713889461951499,0.6911764705882353,0.7614035087719297,0.1795860634940604,0.734375,0.7125288553451942,0.0890796799184923,0.7121212121212122,0.5551948051948051,0.1966340320520496,0.58,0.3166014194300572,0.2159850222661846,0.3171500630517023,0.219496397980018,8.8,8.8,4.48998886412873,4,6.0,16,0.5805826600775641,0.7983359714127471,0.5277802164998678,0.8615944341237232,0.5714285714285714,0.7537342135476464,0.5658419233259342,0.7436682613428408,0.5,0.8254140786749481,0.6037394862468743,0.8478260869565217,0.5743920972644379,0.8059739567468779,0.4285714285714285,0.7174052396878483,0.1268928526359382,0.4853028776128804,0.176832050064415,0.27170694213684,2000,2000,mrmr_then_elasticnet_no_corr_auto_k_no_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,auto,False,29,4,1.5172413793103448
KNN,0.7089497906842404,0.0518502433926004,0.66890625,0.66890625,0.6600492459218221,0.7512458910042641,0.0740001324218335,0.7198864108202957,0.6619742576264315,0.0649142264977266,0.6578947368421053,0.6740390749601276,0.0311970762956777,0.6625,0.7477777777777778,0.1361553216181368,0.7272727272727273,0.6458054226475279,0.1642510443240263,0.625,0.6640476228576915,0.0814443907833448,0.6722689075630253,0.7022727272727273,0.2090634588920155,0.7,0.3273892051836068,0.0719316609623248,0.3187250996015937,0.253465360751722,13.2,13.2,6.013318551349164,4,18.0,18,0.5480857382015306,0.7787393776831525,0.5271046642650056,0.8591334911836968,0.5619047619047619,0.75,0.5637389867136328,0.7565796159606333,0.5217164855072464,0.8833430232558138,0.4915179898899792,0.7462866390936881,0.5274436090225565,0.7727272727272727,0.540527027027027,0.8461538461538461,0.1224332096474954,0.4952815657221327,0.1976401515084349,0.3104499045987792,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,5,2.4444444444444446
SVM_Linear,0.7059979724333791,0.069485224723624,0.655,0.655,0.6507002154509078,0.7565978074648981,0.116227022888531,0.7335769618145815,0.6739000130304478,0.1210038513527058,0.6666666666666666,0.6857854864433812,0.0731473908585267,0.6725,0.7607017543859649,0.1235047846246329,0.7407407407407407,0.6526315789473685,0.2881554247003539,0.625,0.650603318250377,0.1707683755067182,0.6779661016949152,0.718939393939394,0.2088821971067326,0.72,0.3609513079458722,0.1632541622847914,0.3376146788990825,0.2421406108824234,12.0,12.0,2.8284271247461903,8,12.0,16,0.5079936818010788,0.7964313130644207,0.5472339680599803,0.8779796289692442,0.5445544554455446,0.78226683029453,0.5510288814922683,0.787330940417384,0.5293840177580467,0.8947368421052632,0.4347826086956521,0.8,0.5052366209641752,0.8064657611771363,0.5713669950738917,0.8611111111111112,0.0992689736348924,0.5573991907474297,0.2175041531440246,0.2695352983937814,2000,2000,corr_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,36,4,1.6666666666666667
KNN,0.7051196575000402,0.0780321737016329,0.70984375,0.70984375,0.6892505386272699,0.7575496314921115,0.1013567345210888,0.7554059925812259,0.6258306910480823,0.0531264601403766,0.6228070175438597,0.6146662109820004,0.0698698015649466,0.6290625000000001,0.696078431372549,0.0690463406339569,0.6981132075471698,0.5743540669856458,0.1160501807958912,0.578125,0.6198655913978495,0.0665838238314882,0.6324786324786325,0.654978354978355,0.2066837770416673,0.68,0.2191862555103323,0.1412743205306154,0.2520598108025633,0.2241621710923293,12.0,12.0,2.8284271247461903,8,12.0,16,0.5866356006981007,0.8110449655889165,0.5607924897926442,0.8834287754143685,0.5110992907801418,0.7226987718164188,0.5119642857142856,0.7289713169430151,0.4594313063063063,0.8621081504702192,0.404739010989011,0.7195243902439024,0.4494267369869296,0.7552466150870406,0.5097860962566845,0.8260869565217391,0.0237078429705357,0.438745418272291,0.1885120817368773,0.2635853816871882,2000,2000,corr_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,36,4,1.6666666666666667
SVM_Linear,0.7042676019709513,0.1015453115697052,0.6932812500000001,0.6932812500000001,0.6849030470914128,0.75257091967026,0.1072501389051128,0.6840092932256708,0.6730718556805513,0.1155797758798717,0.6666666666666666,0.6757454241664768,0.0729610131281137,0.6681250000000001,0.7325396825396825,0.0961464617200495,0.7241379310344828,0.6813609782030834,0.1894440083420993,0.65625,0.6833372084011471,0.1111972336788577,0.6885245901639344,0.6701298701298701,0.1416672867480534,0.68,0.3544196447238537,0.1636564351415412,0.3318938926588525,0.229415097377566,13.2,13.2,6.013318551349164,4,18.0,18,0.5598915202542514,0.8149351007269472,0.4942136319704907,0.8743267046205776,0.5689655172413793,0.7625973448045688,0.5710420362770265,0.7640118541399228,0.5416385135135136,0.875,0.5084676298971936,0.7894949066213921,0.5493506493506496,0.7907063519611245,0.5370370370370371,0.8181818181818182,0.1388196546199039,0.514725640472221,0.1901206177031917,0.2746079347110102,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,auto,True,27,5,2.4444444444444446
ExtraTrees,0.702654938540106,0.0744864620529043,0.708125,0.708125,0.6967528470298554,0.7284525552586087,0.0860909137829928,0.7076793725854393,0.6498197454719193,0.1331072908813845,0.6403508771929824,0.6555547960811119,0.0781808146339476,0.6446875000000001,0.7217948717948717,0.0475293604542913,0.7090909090909091,0.6457416267942583,0.246733512083087,0.609375,0.6433333333333333,0.1631631766736055,0.6554621848739496,0.6653679653679654,0.2215961881404486,0.68,0.313599777606632,0.1615448001784148,0.2837879252221882,0.2268009424239905,12.0,12.0,2.8284271247461903,8,12.0,16,0.5660537586767096,0.8202791100463965,0.4965096324011538,0.8671318942344914,0.5185019841269841,0.745462249614792,0.5226178526587262,0.7467010073260072,0.5,0.8545454545454545,0.4090909090909091,0.776625295508274,0.4719101123595505,0.7846296296296296,0.5322494852436513,0.8095559845559844,0.0430176579254864,0.48264807265136,0.204077896653611,0.25219281979915,2000,2000,corr_mrmr_auto_k_smote,nested_cv_outputs_single_dataset_batch_smote_compare/ADC_M1/fs_method_comparison/corr_mrmr_auto_k_smote,corr_mrmr_auto_k,corr_mrmr,auto,True,36,4,1.6666666666666667
