Feature_1,Feature_2,Abs_Spearman_Correlation,Above_0_95,Above_0_99
IB_IntensityBasedRobustMeanAbsoluteDeviation,IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,0.9895397803054145,True,False
IH_IntensityHistogramStd_Intensity,GLCM_ClusterTendency,0.9893524554541504,True,False
IH_IntensityHistogramStd_Intensity,GLCM_SumVariance,0.9893524554541504,True,False
IH_IntensityHistogramVariance_Intensity,GLCM_ClusterTendency,0.9893524554541504,True,False
IH_IntensityHistogramVariance_Intensity,GLCM_SumVariance,0.9893524554541504,True,False
IB_IntensityBasedRobustMeanAbsoluteDeviation,IH_IntensityHistogramInterquartileRange_Intensity,0.9893362046889101,True,False
IB_IntensityBasedMedianAbsoluteDeviation,IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0.9892475535374425,True,False
IB_AreaUnderCurveCIVH,GLCM_Autocorrelation,0.9891426516207346,True,False
IB_IntensityBasedRobustMeanAbsoluteDeviation,IB_IntensityBasedMedianAbsoluteDeviation,0.989135158626684,True,False
GLCM_Contrast,GLCM_Dissimilarity,0.9888803968289649,True,False
GLCM_DifferenceAverage,GLCM_Contrast,0.9888803968289649,True,False
IB_RootMeanSquareIntensity,IH_AreaUnderCurveCIVH_Intensity,0.9884008452097289,True,False
IB_RootMeanSquareIntensity,IH_IntensityHistogramMean_Intensity,0.9884008452097289,True,False
IB_MeanIntensity,IB_RootMeanSquareIntensity,0.9882509853287177,True,False
IB_75thIntensityPercentile,GLRLM_ShortRunHighGreyLevelEmphasis,0.9882284181699157,True,False
IH_IntensityHistogramInterquartileRange_Intensity,IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0.9879150471273758,True,False
GLCM_ClusterProminence,GLRLM_GreyLevelVariance,0.9875916018522681,True,False
IB_IntensityBasedQuartileCoefficientOfDispersion,IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,0.9873939752532477,True,False
IH_IntensityHistogramEntropyLog10_Intensity,IH_Uniformity_Intensity,0.9872394311318917,True,False
IH_IntensityHistogramEntropyLog2_Intensity,IH_Uniformity_Intensity,0.9872394311318917,True,False
IH_IntensityHistogramMean_Intensity,GLRLM_HighGreyLevelRunEmphasis,0.9871944731675883,True,False
IH_AreaUnderCurveCIVH_Intensity,GLRLM_HighGreyLevelRunEmphasis,0.9871944731675883,True,False
IB_AreaUnderCurveCIVH,IB_RootMeanSquareIntensity,0.9871869801735378,True,False
IB_MeanIntensity,GLRLM_HighGreyLevelRunEmphasis,0.9870296272984759,True,False
IB_MeanIntensity,IB_50thIntensityPercentile,0.9868664825463259,True,False
IB_MeanIntensity,IB_MedianIntensity,0.9868664825463259,True,False
GLRLM_LongRunsEmphasis,GLRLM_RunLengthVariance,0.9868123304710096,True,False
IB_50thIntensityPercentile,IH_IntensityHistogramMean_Intensity,0.9867840585309581,True,False
IB_MedianIntensity,IH_AreaUnderCurveCIVH_Intensity,0.9867840585309581,True,False
IB_50thIntensityPercentile,IH_AreaUnderCurveCIVH_Intensity,0.9867840585309581,True,False
IB_MedianIntensity,IH_IntensityHistogramMean_Intensity,0.9867840585309581,True,False
IB_IntensityBasedMedianAbsoluteDeviation,GLCM_JointVariance,0.9863552578339253,True,False
IB_IntensityBasedMeanAbsoluteDeviation,IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0.9861454540005096,True,False
IB_IntensityBasedRobustMeanAbsoluteDeviation,IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,0.9860780170540545,True,False
IB_50thIntensityPercentile,IB_AreaUnderCurveCIVH,0.9860759613080246,True,False
IB_MedianIntensity,IB_AreaUnderCurveCIVH,0.9860759613080246,True,False
IB_AreaUnderCurveCIVH,GLRLM_HighGreyLevelRunEmphasis,0.986070524060004,True,False
IH_IntensityHistogram75thPercentile,GLRLM_ShortRunHighGreyLevelEmphasis,0.9860507676230263,True,False
IB_IntensityBasedMeanAbsoluteDeviation,IB_IntensityBasedRobustMeanAbsoluteDeviation,0.9860480450778522,True,False
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,0.9860405520838016,True,False
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,GLCM_JointVariance,0.9857633113039308,True,False
IB_MedianIntensity,GLCM_JointAverage,0.9856563481388787,True,False
IB_MedianIntensity,GLCM_SumAverage,0.9856563481388787,True,False
IB_50thIntensityPercentile,GLCM_JointAverage,0.9856563481388787,True,False
IB_50thIntensityPercentile,GLCM_SumAverage,0.9856563481388787,True,False
GLCM_DifferenceVariance,GLCM_Contrast,0.9856434233991218,True,False
IB_StandardDeviation,IB_IntensityBasedMedianAbsoluteDeviation,0.9851338998036836,True,False
