Feature,Feature_Family
Post2_GLCM_Correlation,GLCM
Post2_GLCM_Autocorrelation,GLCM
Post2_GLCM_ClusterTendency,GLCM
Post2_GLCM_ClusterShade,GLCM
Post2_GLCM_ClusterProminence,GLCM
Post2_GLRLM_ShortRunsEmphasis,GLRLM
Post2_GLRLM_LongRunsEmphasis,GLRLM
Post2_GLRLM_LowGreyLevelRunEmphasis,GLRLM
Post2_GLRLM_HighGreyLevelRunEmphasis,GLRLM
Post2_GLRLM_ShortRunLowGreyLevelEmphasis,GLRLM
Post2_GLRLM_ShortRunHighGreyLevelEmphasis,GLRLM
Post2_GLRLM_LongRunLowGreyLevelEmphasis,GLRLM
Post2_GLRLM_LongRunHighGreyLevelEmphasis,GLRLM
Post2_GLRLM_GreyLevelNonUniformity,GLRLM
Post2_GLRLM_RunLengthNonUniformity,GLRLM
Post2_GLRLM_RunPercentage,GLRLM
Post2_GLRLM_GreyLevelVariance,GLRLM
Post2_GLRLM_RunLengthVariance,GLRLM
Post2_GLRLM_RunEntropy,GLRLM
Post2_NGTDM_Coarseness,NGTDM
Post2_NGTDM_Contrast,NGTDM
Post2_NGTDM_Busyness,NGTDM
Post2_NGTDM_Complexity,NGTDM
Post2_NGTDM_Strength,NGTDM
Post2_GLSZM_SmallZoneEmphasis,GLSZM
Post2_GLSZM_LargeZoneEmphasis,GLSZM
Post2_GLSZM_LowGrayLevelZoneEmphasis,GLSZM
Post2_GLSZM_HighGrayLevelZoneEmphasis,GLSZM
Post2_GLSZM_SmallZoneLowGreyLevelEmphasis,GLSZM
Post2_GLSZM_SmallZoneHighGreyLevelEmphasis,GLSZM
Post2_GLSZM_LargeZoneLowGreyLevelEmphasis,GLSZM
Post2_GLSZM_LargeZoneHighGreyLevelEmphasis,GLSZM
Post2_GLSZM_GreyLevelNonUniformity,GLSZM
Post2_GLSZM_NormalisedGreyLevelNonUniformity,GLSZM
Post2_GLSZM_ZoneSizeNonUniformity,GLSZM
Post2_GLSZM_NormalisedZoneSizeNonUniformity,GLSZM
Post2_GLSZM_ZonePercentage,GLSZM
Post2_GLSZM_GreyLevelVariance,GLSZM
Post2_GLSZM_ZoneSizeVariance,GLSZM
Post2_GLSZM_ZoneSizeEntropy,GLSZM
ADC_Morph_Volume_cm3,Morphological
ADC_Morph_ApproximateVolume_cm3,Morphological
ADC_Morph_voxelsCounting_vx,Morphological
ADC_Morph_SurfaceArea_cm2,Morphological
ADC_Morph_SurfaceToVolumeRatio_cm,Morphological
ADC_Morph_Compacity,Morphological
ADC_Morph_Compactness1,Morphological
ADC_Morph_Compactness2,Morphological
ADC_Morph_SphericalDisproportion,Morphological
ADC_Morph_Sphericity,Morphological
ADC_Morph_Asphericity,Morphological
ADC_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,Morphological
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morphological
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,Morphological
ADC_Morph_CentreOfMassShift_mm,Morphological
ADC_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,Morphological
ADC_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,Morphological
ADC_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,Morphological
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morphological
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,Morphological
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,Morphological
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morphological
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,Morphological
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist_mm,Morphological
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morphological
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DCoronalSmallestDist,Morphological
ADC_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Morphological
ADC_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morphological
ADC_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Morphological
ADC_Morph_Maximum3DDiameter_mm,Morphological
ADC_Morph_SphereDiameter_mm,Morphological
ADC_Morph_IntegratedIntensity_Intensity,Morphological
ADC_IB_MeanIntensity,IB
ADC_IB_IntensityVariance,IB
ADC_IB_IntensitySkewness,IB
ADC_IB_IntensityKurtosis,IB
ADC_IB_MedianIntensity,IB
ADC_IB_MinimumIntensity,IB
ADC_IB_10thIntensityPercentile,IB
ADC_IB_25thIntensityPercentile,IB
ADC_IB_50thIntensityPercentile,IB
ADC_IB_75thIntensityPercentile,IB
ADC_IB_90thIntensityPercentile,IB
ADC_IB_StandardDeviation,IB
ADC_IB_MaximumIntensity,IB
ADC_IB_IntensityInterquartileRange,IB
ADC_IB_IntensityRange,IB
ADC_IB_IntensityBasedMeanAbsoluteDeviation,IB
ADC_IB_IntensityBasedRobustMeanAbsoluteDeviation,IB
ADC_IB_IntensityBasedMedianAbsoluteDeviation,IB
ADC_IB_IntensityBasedCoefficientOfVariation,IB
ADC_IB_IntensityBasedQuartileCoefficientOfDispersion,IB
ADC_IB_AreaUnderCurveCIVH,IB
ADC_IB_IntensityBasedEnergy,IB
ADC_IB_RootMeanSquareIntensity,IB
ADC_IB_TotalLesionGlycolysis,IB
ADC_IH_IntensityHistogramMean_Intensity,HI
ADC_IH_IntensityHistogramVariance_Intensity,HI
ADC_IH_IntensityHistogramSkewness_Intensity,HI
ADC_IH_IntensityHistogramKurtosis_Intensity,HI
ADC_IH_IntensityHistogramMedian_Intensity,HI
ADC_IH_IntensityHistogramMinimumGreyLevel_Intensity,HI
ADC_IH_IntensityHistogram10thPercentile,HI
ADC_IH_IntensityHistogram25thPercentile,HI
ADC_IH_IntensityHistogram50thPercentile,HI
ADC_IH_IntensityHistogram75thPercentile,HI
ADC_IH_IntensityHistogram90thPercentile,HI
ADC_IH_IntensityHistogramStd_Intensity,HI
ADC_IH_IntensityHistogramMaximumGreyLevel_Intensity,HI
ADC_IH_IntensityHistogramMode_Intensity,HI
ADC_IH_IntensityHistogramInterquartileRange_Intensity,HI
ADC_IH_IntensityHistogramRange_Intensity,HI
ADC_IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,HI
ADC_IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,HI
ADC_IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,HI
ADC_IH_IntensityHistogramCoefficientOfVariation_Intensity,HI
ADC_IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,HI
ADC_IH_IntensityHistogramEntropyLog10_Intensity,HI
ADC_IH_IntensityHistogramEntropyLog2_Intensity,HI
ADC_IH_AreaUnderCurveCIVH_Intensity,HI
ADC_IH_Uniformity_Intensity,HI
ADC_IH_RootMeanSquare_Intensity,HI
ADC_IH_MaximumHistogramGradient_Intensity,HI
ADC_IH_MaximumHistogramGradientGreyLevel_Intensity,HI
ADC_IH_MinimumHistogramGradient_Intensity,HI
ADC_LOCAL_INTENSITY_HISTOGRAM_LocalIntensityPeak_Intensity,HI
ADC_GLCM_JointMaximum,GLCM
ADC_GLCM_JointAverage,GLCM
ADC_GLCM_JointVariance,GLCM
ADC_GLCM_JointEntropyLog2,GLCM
ADC_GLCM_JointEntropyLog10,GLCM
ADC_GLCM_DifferenceAverage,GLCM
ADC_GLCM_DifferenceVariance,GLCM
ADC_GLCM_DifferenceEntropy,GLCM
ADC_GLCM_SumAverage,GLCM
ADC_GLCM_SumVariance,GLCM
ADC_GLCM_SumEntropy,GLCM
ADC_GLCM_AngularSecondMoment,GLCM
ADC_GLCM_Contrast,GLCM
ADC_GLCM_Dissimilarity,GLCM
ADC_GLCM_InverseDifference,GLCM
ADC_GLCM_NormalisedInverseDifference,GLCM
ADC_GLCM_InverseDifferenceMoment,GLCM
ADC_GLCM_NormalisedInverseDifferenceMoment,GLCM
ADC_GLCM_InverseVariance,GLCM
ADC_GLCM_Correlation,GLCM
ADC_GLCM_Autocorrelation,GLCM
ADC_GLCM_ClusterTendency,GLCM
ADC_GLCM_ClusterShade,GLCM
ADC_GLCM_ClusterProminence,GLCM
ADC_GLRLM_ShortRunsEmphasis,GLRLM
ADC_GLRLM_LongRunsEmphasis,GLRLM
ADC_GLRLM_LowGreyLevelRunEmphasis,GLRLM
ADC_GLRLM_HighGreyLevelRunEmphasis,GLRLM
ADC_GLRLM_ShortRunLowGreyLevelEmphasis,GLRLM
ADC_GLRLM_ShortRunHighGreyLevelEmphasis,GLRLM
ADC_GLRLM_LongRunLowGreyLevelEmphasis,GLRLM
ADC_GLRLM_LongRunHighGreyLevelEmphasis,GLRLM
ADC_GLRLM_GreyLevelNonUniformity,GLRLM
ADC_GLRLM_RunLengthNonUniformity,GLRLM
ADC_GLRLM_RunPercentage,GLRLM
ADC_GLRLM_GreyLevelVariance,GLRLM
ADC_GLRLM_RunLengthVariance,GLRLM
ADC_GLRLM_RunEntropy,GLRLM
ADC_NGTDM_Coarseness,NGTDM
ADC_NGTDM_Contrast,NGTDM
ADC_NGTDM_Busyness,NGTDM
ADC_NGTDM_Complexity,NGTDM
ADC_NGTDM_Strength,NGTDM
ADC_GLSZM_SmallZoneEmphasis,GLSZM
ADC_GLSZM_LargeZoneEmphasis,GLSZM
ADC_GLSZM_LowGrayLevelZoneEmphasis,GLSZM
ADC_GLSZM_HighGrayLevelZoneEmphasis,GLSZM
ADC_GLSZM_SmallZoneLowGreyLevelEmphasis,GLSZM
ADC_GLSZM_SmallZoneHighGreyLevelEmphasis,GLSZM
ADC_GLSZM_LargeZoneLowGreyLevelEmphasis,GLSZM
ADC_GLSZM_LargeZoneHighGreyLevelEmphasis,GLSZM
ADC_GLSZM_GreyLevelNonUniformity,GLSZM
ADC_GLSZM_NormalisedGreyLevelNonUniformity,GLSZM
ADC_GLSZM_ZoneSizeNonUniformity,GLSZM
ADC_GLSZM_NormalisedZoneSizeNonUniformity,GLSZM
ADC_GLSZM_ZonePercentage,GLSZM
ADC_GLSZM_GreyLevelVariance,GLSZM
ADC_GLSZM_ZoneSizeVariance,GLSZM
