Feature,Feature_Family
IB_IntensityBasedRobustMeanAbsoluteDeviation,IB
IB_IntensityBasedMedianAbsoluteDeviation,IB
IB_IntensityBasedCoefficientOfVariation,IB
IB_IntensityBasedQuartileCoefficientOfDispersion,IB
IB_AreaUnderCurveCIVH,IB
IB_IntensityBasedEnergy,IB
IB_RootMeanSquareIntensity,IB
IB_TotalLesionGlycolysis,IB
IH_IntensityHistogramMean_Intensity,HI
IH_IntensityHistogramVariance_Intensity,HI
IH_IntensityHistogramSkewness_Intensity,HI
IH_IntensityHistogramKurtosis_Intensity,HI
IH_IntensityHistogramMedian_Intensity,HI
IH_IntensityHistogramMinimumGreyLevel_Intensity,HI
IH_IntensityHistogram10thPercentile,HI
IH_IntensityHistogram25thPercentile,HI
IH_IntensityHistogram50thPercentile,HI
IH_IntensityHistogram75thPercentile,HI
IH_IntensityHistogram90thPercentile,HI
IH_IntensityHistogramStd_Intensity,HI
IH_IntensityHistogramMaximumGreyLevel_Intensity,HI
IH_IntensityHistogramMode_Intensity,HI
IH_IntensityHistogramInterquartileRange_Intensity,HI
IH_IntensityHistogramRange_Intensity,HI
IH_IntensityHistogramMeanAbsoluteDeviation_Intensity,HI
IH_IntensityHistogramRobustMeanAbsoluteDeviation_Intensity,HI
IH_IntensityHistogramMedianAbsoluteDeviation_Intensity,HI
IH_IntensityHistogramCoefficientOfVariation_Intensity,HI
IH_IntensityHistogramQuartileCoefficientOfDispersion_Intensity,HI
IH_IntensityHistogramEntropyLog10_Intensity,HI
IH_IntensityHistogramEntropyLog2_Intensity,HI
IH_AreaUnderCurveCIVH_Intensity,HI
IH_Uniformity_Intensity,HI
IH_RootMeanSquare_Intensity,HI
IH_MaximumHistogramGradient_Intensity,HI
IH_MaximumHistogramGradientGreyLevel_Intensity,HI
IH_MinimumHistogramGradient_Intensity,HI
GLCM_JointMaximum,GLCM
GLCM_JointAverage,GLCM
GLCM_JointVariance,GLCM
GLCM_JointEntropyLog2,GLCM
GLCM_JointEntropyLog10,GLCM
GLCM_DifferenceAverage,GLCM
GLCM_DifferenceVariance,GLCM
GLCM_DifferenceEntropy,GLCM
GLCM_SumAverage,GLCM
GLCM_SumVariance,GLCM
GLCM_SumEntropy,GLCM
GLCM_AngularSecondMoment,GLCM
GLCM_Contrast,GLCM
GLCM_Dissimilarity,GLCM
GLCM_InverseDifference,GLCM
GLCM_NormalisedInverseDifference,GLCM
GLCM_InverseDifferenceMoment,GLCM
GLCM_NormalisedInverseDifferenceMoment,GLCM
GLCM_InverseVariance,GLCM
GLCM_Correlation,GLCM
GLCM_Autocorrelation,GLCM
GLCM_ClusterTendency,GLCM
GLCM_ClusterShade,GLCM
GLCM_ClusterProminence,GLCM
GLRLM_ShortRunsEmphasis,GLRLM
GLRLM_LongRunsEmphasis,GLRLM
GLRLM_LowGreyLevelRunEmphasis,GLRLM
GLRLM_HighGreyLevelRunEmphasis,GLRLM
GLRLM_ShortRunLowGreyLevelEmphasis,GLRLM
GLRLM_ShortRunHighGreyLevelEmphasis,GLRLM
GLRLM_LongRunLowGreyLevelEmphasis,GLRLM
GLRLM_LongRunHighGreyLevelEmphasis,GLRLM
GLRLM_GreyLevelNonUniformity,GLRLM
GLRLM_RunLengthNonUniformity,GLRLM
GLRLM_RunPercentage,GLRLM
GLRLM_GreyLevelVariance,GLRLM
GLRLM_RunLengthVariance,GLRLM
GLRLM_RunEntropy,GLRLM
NGTDM_Coarseness,NGTDM
NGTDM_Contrast,NGTDM
NGTDM_Busyness,NGTDM
NGTDM_Complexity,NGTDM
NGTDM_Strength,NGTDM
GLSZM_SmallZoneEmphasis,GLSZM
GLSZM_LargeZoneEmphasis,GLSZM
GLSZM_LowGrayLevelZoneEmphasis,GLSZM
GLSZM_HighGrayLevelZoneEmphasis,GLSZM
GLSZM_SmallZoneLowGreyLevelEmphasis,GLSZM
GLSZM_SmallZoneHighGreyLevelEmphasis,GLSZM
GLSZM_LargeZoneLowGreyLevelEmphasis,GLSZM
GLSZM_LargeZoneHighGreyLevelEmphasis,GLSZM
GLSZM_GreyLevelNonUniformity,GLSZM
GLSZM_NormalisedGreyLevelNonUniformity,GLSZM
GLSZM_ZoneSizeNonUniformity,GLSZM
GLSZM_NormalisedZoneSizeNonUniformity,GLSZM
GLSZM_ZonePercentage,GLSZM
GLSZM_GreyLevelVariance,GLSZM
GLSZM_ZoneSizeVariance,GLSZM
