Feature,Variance
Post2_GLSZM_GreyLevelVariance,2202.8761576846837
Post2_GLCM_JointVariance,2247.0560443718473
Post2_GLRLM_GreyLevelVariance,2427.69202995602
Post2_IH_IntensityHistogramVariance_Intensity,2484.5618451367163
Post2_IB_IntensityBasedRobustMeanAbsoluteDeviation,2718.0931338430664
Post2_IB_IntensityBasedMedianAbsoluteDeviation,3981.0437026984614
Post2_IB_IntensityBasedMeanAbsoluteDeviation,3997.463820750496
Post2_IB_StandardDeviation,5146.2371715549625
Post2_GLSZM_GreyLevelNonUniformity,5865.172808590966
Post2_IB_10thIntensityPercentile,8831.841321340142
Post2_GLSZM_SmallZoneHighGreyLevelEmphasis,14701.854190262324
ADC_IB_IntensityBasedMeanAbsoluteDeviation,14926.22894901189
Post2_IB_25thIntensityPercentile,15139.646530367178
Post2_IB_IntensityInterquartileRange,17419.382806778336
Post2_GLCM_ClusterTendency,21642.870076510324
Post2_GLCM_SumVariance,21642.870076510324
ADC_IB_IntensityBasedRobustMeanAbsoluteDeviation,21925.007442880382
ADC_GLSZM_NormalisedGreyLevelNonUniformity,22183.849650225235
ADC_IB_IntensityRange,22369.167268027075
Post2_IH_AreaUnderCurveCIVH_Intensity,23158.07189386696
Post2_IB_MeanIntensity,23194.691423085496
ADC_GLCM_Autocorrelation,25305.075044163434
ADC_GLCM_SumAverage,25305.075044163434
Post2_IB_RootMeanSquareIntensity,26288.500264613987
ADC_GLSZM_SmallZoneLowGreyLevelEmphasis,27636.457768440552
Post2_IB_MedianIntensity,27811.09380724975
Post2_IB_50thIntensityPercentile,27811.09380724975
ADC_IB_90thIntensityPercentile,30598.74700904446
Post2_IB_75thIntensityPercentile,43176.70868085773
Post2_IB_90thIntensityPercentile,51806.88986384954
Post2_GLSZM_HighGrayLevelZoneEmphasis,55993.50336541154
Post2_GLRLM_ShortRunHighGreyLevelEmphasis,65088.70886033449
Post2_IB_MaximumIntensity,65737.92609622587
Post2_IB_IntensityRange,68615.0048734898
Post2_GLRLM_HighGreyLevelRunEmphasis,72964.39823141017
Post2_IH_MinimumHistogramGradient_Intensity,84574.96762465376
Post2_GLCM_Autocorrelation,85004.85604880194
ADC_IB_MaximumIntensity,90038.68812858529
Post2_IH_MaximumHistogramGradient_Intensity,106120.36857494613
Post2_GLRLM_LongRunHighGreyLevelEmphasis,114502.47478042444
Post2_GLSZM_ZoneSizeNonUniformity,169316.60425465187
ADC_GLRLM_ShortRunLowGreyLevelEmphasis,172010.92035679254
ADC_GLSZM_LowGrayLevelZoneEmphasis,201467.4894753817
ADC_GLRLM_LowGreyLevelRunEmphasis,224561.01169297544
ADC_GLCM_Correlation,237460.508046334
ADC_IB_MedianIntensity,276637.7312243759
ADC_IB_MinimumIntensity,374264.9105233942
ADC_IB_IntensityBasedEnergy,419455.49538782536
ADC_NGTDM_Busyness,421207.49840995384
Post2_GLRLM_GreyLevelNonUniformity,428299.594709479
ADC_IB_10thIntensityPercentile,430418.6433166797
ADC_IH_IntensityHistogramEntropyLog2_Intensity,432349.30018418847
ADC_Morph_IntegratedIntensity_Intensity,437440.936319727
ADC_GLRLM_LongRunHighGreyLevelEmphasis,453583.80208562594
ADC_IB_25thIntensityPercentile,479576.7013299293
ADC_IB_IntensityKurtosis,479576.7013299293
ADC_IB_50thIntensityPercentile,525318.754299059
ADC_IB_75thIntensityPercentile,561851.3158344238
ADC_IB_IntensityInterquartileRange,579514.4706807184
ADC_IB_StandardDeviation,667391.8267685712
ADC_GLRLM_LongRunLowGreyLevelEmphasis,933430.8708035884
ADC_IH_MaximumHistogramGradientGreyLevel_Intensity,1014572.5621922133
ADC_IH_RootMeanSquare_Intensity,1340696.512792398
Post2_NGTDM_Complexity,2617130.5667613354
Post2_GLCM_ClusterShade,3185885.1248856448
ADC_GLCM_ClusterTendency,8809806.613897571
Post2_IB_AreaUnderCurveCIVH,10712378.25705574
Post2_GLSZM_LargeZoneLowGreyLevelEmphasis,10914827.931851296
ADC_GLRLM_GreyLevelNonUniformity,17904514.444416244
Post2_GLSZM_ZoneSizeVariance,34858175.47925565
Post2_IB_TotalLesionGlycolysis,39202982.19788349
Post2_GLSZM_LargeZoneEmphasis,39428839.59620705
Post2_GLRLM_RunLengthNonUniformity,93170635.77187848
Post2_Morph_voxelsCounting_vx,232135214.65320098
ADC_Morph_ApproximateVolume_cm3,232266706.55378583
ADC_IB_RootMeanSquareIntensity,450494869.71727043
Post2_IB_IntensityVariance,544335434.1674061
ADC_IB_IntensityBasedQuartileCoefficientOfDispersion,1421207342.8690274
ADC_GLSZM_GreyLevelVariance,1717385607.260302
ADC_GLSZM_SmallZoneHighGreyLevelEmphasis,2554134533.645661
ADC_GLSZM_SmallZoneEmphasis,3627345681.6629953
ADC_IB_MeanIntensity,19041504031.123318
Post2_GLCM_ClusterProminence,29554587733.417507
ADC_GLCM_ClusterShade,74608454945.02429
Post2_GLSZM_LargeZoneHighGreyLevelEmphasis,769725420563.718
Post2_Morph_IntegratedIntensity_Intensity,39185888520374.78
ADC_GLSZM_LargeZoneLowGreyLevelEmphasis,445295836806534.4
ADC_Morph_SphereDiameter_mm,450577826879348.0
Post2_IB_IntensityBasedEnergy,8.263320217635929e+18
ADC_IB_AreaUnderCurveCIVH,1.0107518566083945e+21
