Triple_Tag,Dataset_A,Dataset_B,Dataset_C,Experiment_ID,FS_METHOD,Best_Model_No_SMOTE,Best_Model_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Run_Name_No_SMOTE,Run_Name_SMOTE
ADC_Post2_T2,ADC,Post2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,LogisticRegression,0.7454970184874491,0.7385543634108227,-0.006942655076626392,0.6896875,0.6896875,0.0,0.8072871254937825,0.8029564521658792,-0.004330673327903267,0.6962466772993089,0.6845800106326422,-0.011666666666666714,13.2,13.2,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
ADC_Pre_T2,ADC,Pre,T2,corr_mrmr_auto_k,corr_mrmr,XGBoost,LightGBM,0.6766945025557466,0.6934676337307917,0.016773131175045086,0.5846875,0.6050000000000001,0.020312500000000067,0.7389574436668807,0.7484258155634047,0.009468371896524053,0.6149700007594744,0.5919755828966355,-0.022994417862838845,15.6,15.6,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
ADC_Pre_T2,ADC,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,LightGBM,0.7624075454936698,0.7671242500189869,0.004716704525317028,0.665625,0.72,0.05437499999999995,0.8213414604480235,0.8015369954572993,-0.01980446499072419,0.6198902559428875,0.6676892990050886,0.04779904306220106,13.2,13.2,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
ADC_Pre_T2,ADC,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,LogisticRegression,XGBoost,0.7133166133883837,0.7343729732964184,0.021056359908034672,0.6737500000000001,0.6528125,-0.020937500000000053,0.7729798906380031,0.8109217320899136,0.037941841451910485,0.6405648591174907,0.6217124250018986,-0.01885243411559212,13.6,13.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
Post1_Post2_Pre,Post1,Post2,Pre,corr_mrmr_auto_k,corr_mrmr,LogisticRegression,SVM_Linear,0.6740919701213819,0.6883053221288515,0.014213352007469648,0.6310096153846153,0.6090745192307692,-0.021935096153846145,0.7757094843493879,0.7953494817544567,0.019639997405068832,0.6226423902894491,0.577266573295985,-0.04537581699346416,16.0,16.0,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
Post1_Post2_Pre,Post1,Post2,Pre,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,ExtraTrees,0.6799221910986617,0.6974509803921569,0.017528789293495217,0.6622596153846154,0.6470853365384616,-0.015174278846153855,0.7280804145880068,0.780300625296463,0.05222021070845628,0.6157819794584499,0.6208823529411764,0.005100373482726517,10.4,10.4,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
Post1_Post2_Pre,Post1,Post2,Pre,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,SVM_Linear,SVM_Linear,0.7278384687208217,0.7531372549019608,0.02529878618113912,0.6778846153846153,0.7145432692307693,0.036658653846153966,0.8021005943898049,0.8165204529848851,0.014419858595080215,0.6405345471521942,0.6972222222222222,0.05668767507002803,11.6,11.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
Post1_Post2_T2,Post1,Post2,T2,corr_mrmr_auto_k,corr_mrmr,RandomForest,ExtraTrees,0.6331644880174292,0.6407080610021787,0.0075435729847495026,0.6150841346153846,0.6141826923076923,-0.0009014423076922906,0.7376806300504946,0.745645475929464,0.007964845878969395,0.6187698412698412,0.6053104575163399,-0.013459383753501308,13.6,13.6,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
Post1_Post2_T2,Post1,Post2,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,LightGBM,0.7029761904761905,0.6912636165577342,-0.01171257391845637,0.6577524038461537,0.6316105769230769,-0.026141826923076872,0.7963894634098889,0.735420758188857,-0.06096870522103193,0.6064682539682539,0.6562114845938375,0.04974323062558361,8.8,8.8,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
Post1_Post2_T2,Post1,Post2,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,NaiveBayes,0.7353104575163397,0.7291433239962651,-0.006167133520074586,0.7064302884615385,0.7034254807692307,-0.0030048076923078204,0.738669989813624,0.7304356424110925,-0.008234347402531483,0.616704014939309,0.6120821661998133,-0.004621848739495782,10.0,10.0,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
Post1_Pre_T2,Post1,Pre,T2,corr_mrmr_auto_k,corr_mrmr,SVM_Linear,LogisticRegression,0.6640102707749767,0.6601571739807035,-0.0038530967942731476,0.5793269230769231,0.6159855769230769,0.036658653846153744,0.7040327850252616,0.6979912255857308,-0.006041559439530775,0.5690849673202615,0.6056069094304389,0.03652194211017745,12.8,12.8,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
Post1_Pre_T2,Post1,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,SVM_Linear,0.6681473700591347,0.6633800186741363,-0.004767351384998397,0.6304086538461537,0.6601562499999999,0.029747596153846145,0.7155818415887569,0.7126163401478054,-0.0029655014409515346,0.5524276377217554,0.6129668534080299,0.06053921568627452,9.6,9.6,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
Post1_Pre_T2,Post1,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,NaiveBayes,0.682120292561469,0.6762278244631185,-0.005892468098350534,0.6947115384615385,0.6947115384615385,0.0,0.7015696195510753,0.7021623378669772,0.0005927183159019078,0.5908870214752568,0.5808870214752568,-0.010000000000000009,11.6,11.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
Post2_Pre_T2,Post2,Pre,T2,corr_mrmr_auto_k,corr_mrmr,RandomForest,XGBoost,0.6805765993265993,0.6692494388327722,-0.011327160493827093,0.620414201183432,0.6162721893491124,-0.004142011834319614,0.7712857710145492,0.7349385757284969,-0.03634719528605235,0.5746212121212121,0.5886489898989898,0.01402777777777775,12.8,12.8,corr_mrmr_auto_k_no_smote,corr_mrmr_auto_k_smote
Post2_Pre_T2,Post2,Pre,T2,elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,SVM_RBF,0.7353759820426488,0.7428591470258137,0.007483164983164925,0.7065088757396449,0.7020710059171598,-0.004437869822485174,0.8067359802726835,0.8032133840168513,-0.0035225962558321777,0.6676010101010101,0.6818434343434342,0.014242424242424057,13.2,13.2,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote
Post2_Pre_T2,Post2,Pre,T2,mrmr_then_elasticnet_no_corr_auto_k,mrmr_then_elasticnet_no_corr,NaiveBayes,NaiveBayes,0.685513468013468,0.7012752525252526,0.01576178451178456,0.6576923076923077,0.6739644970414201,0.016272189349112454,0.7232332659013544,0.7431105006383352,0.019877234736980776,0.6098358585858585,0.6255934343434344,0.01575757575757586,11.6,11.6,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr_auto_k_smote
