Experiment_ID,FS_METHOD,Model,Run_Name_No_SMOTE,Run_Name_SMOTE,Mean_AUC_No_SMOTE,Mean_AUC_SMOTE,Delta_Mean_AUC_SMOTE_minus_No_SMOTE,Std_AUC_No_SMOTE,Std_AUC_SMOTE,Delta_Std_AUC_SMOTE_minus_No_SMOTE,Pooled_AUC_No_SMOTE,Pooled_AUC_SMOTE,Delta_Pooled_AUC_SMOTE_minus_No_SMOTE,Mean_PR_AUC_No_SMOTE,Mean_PR_AUC_SMOTE,Delta_Mean_PR_AUC_SMOTE_minus_No_SMOTE,Pooled_PR_AUC_No_SMOTE,Pooled_PR_AUC_SMOTE,Delta_Pooled_PR_AUC_SMOTE_minus_No_SMOTE,Mean_Bal_Acc_No_SMOTE,Mean_Bal_Acc_SMOTE,Delta_Mean_Bal_Acc_SMOTE_minus_No_SMOTE,Pooled_Bal_Acc_No_SMOTE,Pooled_Bal_Acc_SMOTE,Delta_Pooled_Bal_Acc_SMOTE_minus_No_SMOTE,Mean_F1_No_SMOTE,Mean_F1_SMOTE,Delta_Mean_F1_SMOTE_minus_No_SMOTE,Pooled_F1_No_SMOTE,Pooled_F1_SMOTE,Delta_Pooled_F1_SMOTE_minus_No_SMOTE,Mean_Specificity_No_SMOTE,Mean_Specificity_SMOTE,Delta_Mean_Specificity_SMOTE_minus_No_SMOTE,Pooled_Specificity_No_SMOTE,Pooled_Specificity_SMOTE,Delta_Pooled_Specificity_SMOTE_minus_No_SMOTE,Avg_Features_No_SMOTE,Avg_Features_SMOTE,Delta_Avg_Features_SMOTE_minus_No_SMOTE,N_Unique_Selected_Features_No_SMOTE,N_Unique_Selected_Features_SMOTE,Delta_N_Unique_Selected_Features_SMOTE_minus_No_SMOTE
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,ExtraTrees,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7267255892255892,0.7250420875420875,-0.0016835016835016203,0.1247614065930996,0.1281824859204367,0.0034210793273371093,0.7041420118343196,0.7118343195266273,0.007692307692307776,0.77171674039511,0.777041306633115,0.005324566238005035,0.7615213872225604,0.7518175677282062,-0.009703819494354171,0.689760101010101,0.7026767676767676,0.012916666666666576,0.6634615384615385,0.6788461538461539,0.01538461538461533,0.6553016726403823,0.6788059163059164,0.023504243665534053,0.6666666666666666,0.6885245901639344,0.021857923497267784,0.7177777777777777,0.72,0.0022222222222222365,0.7115384615384616,0.7115384615384616,0.0,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,GradientBoosting,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.6782982603815938,0.71121632996633,0.0329180695847362,0.1156722029836641,0.1318455587220785,0.016173355738414413,0.6106508875739646,0.7044378698224852,0.09378698224852067,0.7696013124373108,0.7908024335414042,0.021201121104093446,0.6758402504916092,0.7614485357960179,0.08560828530440867,0.5437878787878788,0.6632954545454546,0.11950757575757576,0.5211538461538462,0.648076923076923,0.1269230769230768,0.5931042591117686,0.6720205711974344,0.07891631208566585,0.6197183098591549,0.6771653543307087,0.0574470444715538,0.4133333333333333,0.6244444444444445,0.2111111111111112,0.3653846153846153,0.6346153846153846,0.2692307692307693,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,KNN,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.6946815375982043,0.730206228956229,0.03552469135802472,0.1525365621908969,0.1485831714632187,-0.0039533907276781965,0.6714497041420119,0.6792899408284024,0.007840236686390556,0.7337137425082452,0.754028844403205,0.020315101894959775,0.7418996514450863,0.70984563611036,-0.032054015334726293,0.6354545454545454,0.6632323232323232,0.02777777777777779,0.6230769230769231,0.6423076923076922,0.019230769230769162,0.6538923065238855,0.6759428546193252,0.022050548095439715,0.6814814814814815,0.6917293233082706,0.010247841826789172,0.5355555555555556,0.5911111111111111,0.05555555555555558,0.5384615384615384,0.5769230769230769,0.038461538461538436,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,LightGBM,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.716705948372615,0.7220440516273849,0.00533810325476991,0.1037458500184613,0.1039096827020489,0.00016383268358759195,0.6198224852071007,0.6431952662721893,0.023372781065088555,0.7929087809644646,0.7960410524299468,0.003132271465482228,0.6729462593607134,0.6898852906931598,0.016939031332446453,0.6391919191919191,0.6346843434343434,-0.004507575757575655,0.6076923076923078,0.6173076923076923,0.009615384615384581,0.6315151515151515,0.618655462184874,-0.01285968933027748,0.6290322580645161,0.6341463414634146,0.005114083398898517,0.6177777777777778,0.6533333333333332,0.03555555555555545,0.6153846153846154,0.6346153846153846,0.019230769230769162,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,LogisticRegression,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7168223905723906,0.7114057239057239,-0.005416666666666736,0.1542798556550526,0.1465913718960533,-0.007688483758999276,0.6967455621301776,0.6911242603550296,-0.005621301775147969,0.7469918141982546,0.7460325233570847,-0.0009592908411698575,0.7444235127430299,0.7278881334256431,-0.0165353793173868,0.6931565656565656,0.6902398989898989,-0.0029166666666666785,0.675,0.6653846153846155,-0.009615384615384581,0.6832227529499006,0.681065378964653,-0.0021573739852476237,0.6984126984126984,0.6929133858267716,-0.00549931258592673,0.6688888888888889,0.6644444444444444,-0.004444444444444473,0.6730769230769231,0.6538461538461539,-0.019230769230769273,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,NaiveBayes,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.5989113355780022,0.5989113355780022,0.0,0.1464921987428248,0.1428196915432438,-0.003672507199580982,0.5933431952662722,0.6004437869822485,0.007100591715976323,0.6876956207317362,0.6861370075542771,-0.0015586131774590894,0.675550481061503,0.6815323941306315,0.005981913069128542,0.5165656565656566,0.5314267676767677,0.014861111111111103,0.5019230769230769,0.5134615384615384,0.011538461538461497,0.6131662910732679,0.6193223443223443,0.006156053249076421,0.6405228758169934,0.64,-0.0005228758169933956,0.2644444444444444,0.3066666666666667,0.04222222222222227,0.25,0.2884615384615384,0.03846153846153838,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,RandomForest,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.708733164983165,0.6889772727272727,-0.01975589225589225,0.1201157480958664,0.1082819890806844,-0.011833759015182008,0.6920118343195266,0.7014792899408285,0.009467455621301912,0.7922290772253016,0.7549043889482475,-0.03732468827705404,0.7773533251073794,0.7926197472717937,0.015266422164414317,0.628371212121212,0.6211489898989899,-0.00722222222222213,0.6288461538461538,0.6423076923076922,0.013461538461538414,0.6431843048481418,0.6134731515696261,-0.0297111532785157,0.6666666666666666,0.6612903225806451,-0.005376344086021501,0.5977777777777777,0.6444444444444445,0.046666666666666745,0.5961538461538461,0.6538461538461539,0.05769230769230771,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_Linear,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7216863075196409,0.7336910774410775,0.01200476992143662,0.1392813590055105,0.1436068529560539,0.004325493950543408,0.680473372781065,0.7079881656804734,0.02751479289940839,0.7479987018257198,0.7582151650259881,0.010216463200268255,0.7200582146098933,0.7372077200973373,0.017149505487443983,0.6671843434343435,0.7100378787878787,0.0428535353535352,0.6442307692307692,0.6884615384615385,0.044230769230769296,0.6676906294258909,0.6742286878909269,0.0065380584650360785,0.6870229007633588,0.6942148760330579,0.007191975269699058,0.6044444444444445,0.7333333333333334,0.12888888888888894,0.5961538461538461,0.7307692307692307,0.13461538461538458,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,SVM_RBF,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7353759820426488,0.7428591470258137,0.007483164983164925,0.1757874111246118,0.1612683498246359,-0.014519061299975905,0.7065088757396449,0.7020710059171598,-0.004437869822485174,0.8067359802726835,0.8032133840168513,-0.0035225962558321777,0.782677388978464,0.7354347971321076,-0.047242591846356374,0.6676010101010101,0.6818434343434342,0.014242424242424057,0.6365384615384615,0.6576923076923077,0.02115384615384619,0.674328342851263,0.6714567961684642,-0.0028715466827987646,0.676923076923077,0.6825396825396826,0.005616605616605597,0.6177777777777778,0.6644444444444444,0.046666666666666634,0.5961538461538461,0.6538461538461539,0.05769230769230771,13.2,13.2,0.0,42,42,0
elasticnet_then_mrmr_auto_k,elasticnet_then_mrmr,XGBoost,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr_auto_k_smote,0.7272250280583614,0.7332014590347924,0.005976430976430969,0.1016529586979005,0.0949656725664127,-0.006687286131487807,0.6849112426035503,0.6997041420118343,0.014792899408283988,0.7955379284169213,0.8034244966284255,0.007886568211504241,0.7521331697446556,0.736307173770749,-0.01582599597390666,0.6621085858585858,0.6716287878787878,0.009520202020201984,0.6346153846153846,0.6538461538461539,0.019230769230769273,0.6473306263628843,0.6500522466039707,0.0027216202410863533,0.6504065040650406,0.6611570247933884,0.010750520728347812,0.6511111111111111,0.6799999999999999,0.028888888888888853,0.6538461538461539,0.6923076923076923,0.038461538461538436,13.2,13.2,0.0,42,42,0
