feature,n_valid,shapiro_stat,shapiro_p_value,is_normal_global_p_ge_0_05,shapiro_q_value_fdr,is_normal_after_fdr_q_ge_0_05
ADC_GLSZM_NormalisedZoneSizeNonUniformity,113,0.9561568257646136,0.0009623538063547186,False,0.0012533649873182713,False
ADC_GLSZM_ZonePercentage,113,0.7812162816926058,1.1055878277842493e-11,False,2.9504951232279047e-11,False
ADC_GLSZM_GreyLevelVariance,113,0.13881267684492982,9.105598711060936e-23,False,1.7627999829422843e-21,False
ADC_GLSZM_ZoneSizeVariance,113,0.9538474876245516,0.0006494000336525865,False,0.0008560273170875004,False
Post1_Morph_Volume_cm3,113,0.14710061107519878,1.1261793064912e-22,False,1.7627999829422843e-21,False
Post1_Morph_ApproximateVolume_cm3,113,0.14739258757202833,1.1346758510892865e-22,False,1.7627999829422843e-21,False
Post1_Morph_voxelsCounting_vx,113,0.14739258757202833,1.1346758510892865e-22,False,1.7627999829422843e-21,False
Post1_Morph_SurfaceArea_cm2,113,0.2790241970520525,4.201539926737563e-21,False,3.514749746405461e-20,False
Post1_Morph_SurfaceToVolumeRatio_cm,113,0.9642877787551033,0.004102330447834757,False,0.005172503608139476,False
Post1_Morph_Compacity,113,0.7454399212200878,1.0358320800617137e-12,False,2.9450127766460484e-12,False
Post1_Morph_Compactness1,113,0.9350892004127634,3.476395751548994e-05,False,5.2691015746474295e-05,False
Post1_Morph_Compactness2,113,0.9732576459614832,0.02288014328707682,False,0.026683277023802722,False
Post1_Morph_SphericalDisproportion,113,0.7855391002014491,1.49780317916093e-11,False,3.836166043117191e-11,False
Post1_Morph_Sphericity,113,0.9135220040476012,1.9322634049947728e-06,False,3.1959489778430653e-06,False
Post1_Morph_Asphericity,113,0.7855391002014489,1.497803179160892e-11,False,3.836166043117191e-11,False
Post1_Morph_MaxIntensityCoor_RoiCentroidCoor_Dist_cm,113,0.7117147366187591,1.3617049768273447e-13,False,4.387716036443666e-13,False
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,113,0.9817984793305318,0.12747668774043824,True,0.14038571941035605,True
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_RoiCentroidCoor_Dist,113,0.9724903161602401,0.01966235215868788,False,0.023116549159538452,False
Post1_Morph_CentreOfMassShift_mm,113,0.7109107918231621,1.300114006864166e-13,False,4.2205193506411356e-13,False
Post1_Morph_RadiusSphereNorm_CentroidCoor_WCentroidCoor_Dist,113,0.7092829590874876,1.1841317382102826e-13,False,3.8729120761013004e-13,False
Post1_Morph_RadiusRoiNorm_CentroidCoor_WCentroidCoor_Dist,113,0.7118944229466773,1.3758821875831972e-13,False,4.4007996441080207e-13,False
Post1_Morph_MaxIntensityCoor_PerimeterCoor_3DSmallestDist_mm,113,0.636908659486856,2.5869421835094625e-15,False,1.0517007942304824e-14,False
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,113,0.9665678402839368,0.006276644767301568,False,0.007778747788536132,False
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_3DSmallestDist,113,0.953625958690683,0.0006256124379584456,False,0.0008271775395499204,False
Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist_mm,113,0.6925392707906933,4.624085403252223e-14,False,1.5714665237614977e-13,False
Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,113,0.7842141342231046,1.364106651381606e-11,False,3.618209715554869e-11,False
Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DAxialSmallestDist,113,0.7450340435687925,1.0097488391872848e-12,False,2.889741743726769e-12,False
