feature,variance,log10_variance
Pre_IB_IntensityBasedMedianAbsoluteDeviation,1278.695729102792,3.1067672146174976
Pre_IB_IntensityBasedMeanAbsoluteDeviation,1310.5016344877922,3.117437566945028
Pre_GLCM_JointVariance,1549.7459219171692,3.1902605021998007
Post2_IB_MinimumIntensity,1592.4276828928232,3.2020597187884077
Pre_GLCM_Contrast,1609.5597879015156,3.2067071134065066
Pre_GLSZM_GreyLevelVariance,1623.4950393570766,3.2104509659628584
Pre_GLSZM_GreyLevelNonUniformity,1675.8919655506666,3.2242460189019844
Pre_IB_StandardDeviation,1710.951146336079,3.2332376090854797
Pre_GLRLM_GreyLevelVariance,1730.0543930174636,3.2380597575889034
Pre_IH_IntensityHistogramVariance_Intensity,1765.3796275853554,3.246838110538216
Post2_GLCM_Contrast,1980.3137040227741,3.2967339928547137
Post2_GLSZM_GreyLevelVariance,2174.9427031895443,3.3374478203635864
Post2_GLCM_JointVariance,2220.7527177576358,3.3465002022710015
Post2_GLRLM_GreyLevelVariance,2397.5818545028355,3.3797734431011226
Post2_IH_IntensityHistogramVariance_Intensity,2454.4432029778936,3.3899529867643925
Post2_IB_IntensityBasedRobustMeanAbsoluteDeviation,2704.6588030493303,3.432112485967878
Pre_IB_10thIntensityPercentile,3822.8547403959533,3.582387796150596
Post2_IB_IntensityBasedMedianAbsoluteDeviation,3949.883799559943,3.596584319436026
Post2_IB_IntensityBasedMeanAbsoluteDeviation,3964.5346797694524,3.5981922211952444
Post2_IB_StandardDeviation,5094.4290445326715,3.7070955177431313
Pre_IB_25thIntensityPercentile,5250.294038703483,3.720183626417475
Pre_IB_IntensityInterquartileRange,5269.945495892179,3.721806123570104
Post2_GLSZM_GreyLevelNonUniformity,5720.424354966826,3.7574282470071094
Pre_IB_MeanIntensity,6380.585996328544,3.804860566383399
Pre_IH_AreaUnderCurveCIVH_Intensity,6382.453604790691,3.8049876665226456
Pre_IB_RootMeanSquareIntensity,6988.625617242553,3.844391775812119
Pre_IB_MedianIntensity,8153.9172813744635,3.9113663013735773
Pre_IB_50thIntensityPercentile,8153.9172813744635,3.9113663013735773
Post2_IB_10thIntensityPercentile,8676.932909753197,3.9383662394897665
Pre_GLSZM_SmallZoneHighGreyLevelEmphasis,10686.430139141492,4.028832650971347
Pre_IB_75thIntensityPercentile,11373.520000964592,4.055894895682353
Pre_IB_90thIntensityPercentile,13868.386757906383,4.14202594464303
Pre_GLCM_ClusterTendency,14289.247557332625,4.1550093603303635
Pre_GLCM_SumVariance,14289.247557332625,4.1550093603303635
Post2_GLSZM_SmallZoneHighGreyLevelEmphasis,14441.219544760952,4.159603870463237
Post2_IB_25thIntensityPercentile,14886.48755804217,4.172792238779176
Post2_IB_IntensityInterquartileRange,17334.627217694706,4.238914506561269
Pre_IB_MaximumIntensity,19261.39586351256,4.2846877570281
Post2_GLCM_ClusterTendency,21473.194415323633,4.331896656162014
Post2_GLCM_SumVariance,21473.194415323633,4.331896656162014
Pre_IB_IntensityRange,22785.204471616875,4.357652930241112
Post2_IH_AreaUnderCurveCIVH_Intensity,22842.87984608156,4.358750855371511
Post2_IB_MeanIntensity,22878.293110252085,4.359423619751624
Post2_IB_RootMeanSquareIntensity,25956.591919631024,4.41424766934318
Post2_IB_MedianIntensity,27489.84141654081,4.439172234491708
Post2_IB_50thIntensityPercentile,27489.84141654081,4.439172234491708
Pre_GLSZM_ZoneSizeNonUniformity,39236.8988323966,4.593694674722168
Pre_GLSZM_HighGrayLevelZoneEmphasis,40122.10479698287,4.603383707941052
Post2_IB_75thIntensityPercentile,42739.58879593864,4.63083033943512
Pre_GLRLM_ShortRunHighGreyLevelEmphasis,42761.15292268082,4.631049406106625
Pre_GLRLM_HighGreyLevelRunEmphasis,47493.63297225476,4.676635391722603
Post2_IB_90thIntensityPercentile,51181.83882532653,4.709115884860012
Pre_GLCM_Autocorrelation,51863.797339451776,4.714864311569363
Post2_GLSZM_HighGrayLevelZoneEmphasis,54941.23270129056,4.7398983993394115
Post2_GLRLM_ShortRunHighGreyLevelEmphasis,64098.73349209931,4.806849448507483
Post2_IB_MaximumIntensity,64509.86452461356,4.8096261298451495
Post2_IB_IntensityRange,67915.3998064205,4.831968261653642
Post2_GLRLM_HighGreyLevelRunEmphasis,71852.77457774307,4.856443542971818
Pre_GLRLM_LongRunHighGreyLevelEmphasis,79624.56100447392,4.90104705094642
Post2_IH_MinimumHistogramGradient_Intensity,82541.39119000663,4.91667178439906
Post2_GLCM_Autocorrelation,83801.6937330943,4.923252796333178
Post2_IH_MaximumHistogramGradient_Intensity,103544.06600189931,5.015125214996977
Post2_GLRLM_LongRunHighGreyLevelEmphasis,112651.65873081851,5.051737590843142
Post2_GLSZM_ZoneSizeNonUniformity,165209.0737535794,5.218033896331161
Post2_GLRLM_GreyLevelNonUniformity,417643.6701432377,5.620805903573326
Pre_IB_AreaUnderCurveCIVH,1187452.4238146269,6.074616218306426
Pre_IH_MinimumHistogramGradient_Intensity,1686466.2462195926,6.226977653424853
Pre_GLRLM_GreyLevelNonUniformity,1695400.5937098805,6.229272330906273
Pre_IH_MaximumHistogramGradient_Intensity,1951902.553583169,6.2904581322356465
Pre_NGTDM_Complexity,2260276.2148775714,6.35416151492932
Pre_GLSZM_LargeZoneLowGreyLevelEmphasis,2388542.6209673397,6.378132995205214
Post2_NGTDM_Complexity,2579455.3186711953,6.41152800942483
Pre_GLCM_ClusterShade,3045813.7799360733,6.48370334718832
Post2_GLCM_ClusterShade,3128190.447247923,6.4952931854591265
Pre_IB_TotalLesionGlycolysis,5682438.866298834,6.754534772127428
Post2_IB_AreaUnderCurveCIVH,10564385.699535765,7.023844248661564
