Model,Threshold,Net_Benefit
RandomForest,0.74,0.006747638326585703
RandomForest,0.75,0.0
RandomForest,0.76,-0.016081871345029253
RandomForest,0.77,-0.04157131960335622
RandomForest,0.78,-0.05023923444976078
RandomForest,0.79,-0.059732664995822915
RandomForest,0.8,-0.04385964912280704
RandomForest,0.81,-0.06186518928901205
RandomForest,0.8200000000000001,-0.03216374269005852
RandomForest,0.8300000000000001,-0.058307533539731726
RandomForest,0.8400000000000001,-0.06798245614035098
RandomForest,0.85,-0.10526315789473681
RandomForest,0.86,-0.018796992481203
RandomForest,0.87,-0.03238866396761133
RandomForest,0.88,-0.038011695906432746
RandomForest,0.89,-0.04465709728867624
RandomForest,0.9,-0.061403508771929835
RandomForest,0.91,-0.07115009746588696
RandomForest,0.92,0.008771929824561403
RandomForest,0.93,0.008771929824561403
RandomForest,0.9400000000000001,0.008771929824561403
RandomForest,0.9500000000000001,0.0
RandomForest,0.9600000000000001,0.0
RandomForest,0.97,0.0
RandomForest,0.98,0.0
RandomForest,0.99,0.0
GradientBoosting,0.01,0.5569732411837675
GradientBoosting,0.02,0.5524525599713569
GradientBoosting,0.03,0.547838668837041
GradientBoosting,0.04,0.5431286549707602
GradientBoosting,0.05,0.5383194829178208
GradientBoosting,0.060000000000000005,0.5334079880552445
GradientBoosting,0.06999999999999999,0.5283908696472364
GradientBoosting,0.08,0.5232646834477498
GradientBoosting,0.09,0.5180258338153074
GradientBoosting,0.09999999999999999,0.5126705653021442
GradientBoosting,0.11,0.5071949536763256
GradientBoosting,0.12,0.4940191387559809
GradientBoosting,0.13,0.4884049203468442
GradientBoosting,0.14,0.4840881272949817
GradientBoosting,0.15000000000000002,0.47832817337461303
GradientBoosting,0.16,0.47243107769423565
GradientBoosting,0.17,0.4576199534982034
GradientBoosting,0.18000000000000002,0.4426615318784767
GradientBoosting,0.19,0.43837990036820446
GradientBoosting,0.2,0.42543859649122806
GradientBoosting,0.21000000000000002,0.4237175216522318
GradientBoosting,0.22,0.41992802519118305
GradientBoosting,0.23,0.416267942583732
GradientBoosting,0.24000000000000002,0.40997229916897504
GradientBoosting,0.25,0.3859649122807018
GradientBoosting,0.26,0.38240872451398766
GradientBoosting,0.27,0.3789954337899544
GradientBoosting,0.28,0.3669590643274854
GradientBoosting,0.29000000000000004,0.36384976525821594
GradientBoosting,0.3,0.3521303258145363
GradientBoosting,0.31,0.3493516399694889
GradientBoosting,0.32,0.3292053663570691
GradientBoosting,0.33,0.32246661429693635
GradientBoosting,0.34,0.32456140350877183
GradientBoosting,0.35000000000000003,0.3178137651821862
GradientBoosting,0.36000000000000004,0.3070175438596491
GradientBoosting,0.37,0.3000556947925369
GradientBoosting,0.38,0.28947368421052627
GradientBoosting,0.39,0.28228357779695135
GradientBoosting,0.4,0.26608187134502925
GradientBoosting,0.41000000000000003,0.2584002378828427
GradientBoosting,0.42000000000000004,0.25045372050816694
GradientBoosting,0.43,0.23345644813788857
GradientBoosting,0.44,0.2161654135338346
GradientBoosting,0.45,0.1985645933014354
GradientBoosting,0.46,0.1806367771280052
GradientBoosting,0.47000000000000003,0.17113538563389605
GradientBoosting,0.48000000000000004,0.14170040485829957
GradientBoosting,0.49,0.1324389404884761
GradientBoosting,0.5,0.12280701754385964
GradientBoosting,0.51,0.11278195488721804
GradientBoosting,0.52,0.10233918128654967
GradientBoosting,0.53,0.11123553564762967
GradientBoosting,0.54,0.10526315789473684
GradientBoosting,0.55,0.10623781676413252
GradientBoosting,0.56,0.11004784688995212
GradientBoosting,0.5700000000000001,0.10077519379844954
GradientBoosting,0.5800000000000001,0.14076858813700913
GradientBoosting,0.59,0.14676936243046643
GradientBoosting,0.6,0.15350877192982457
GradientBoosting,0.61,0.12100764732343683
GradientBoosting,0.62,0.11449676823638044
GradientBoosting,0.63,0.09886201991465149
GradientBoosting,0.64,0.037037037037037035
GradientBoosting,0.65,0.0037593984962405735
GradientBoosting,0.66,-0.003611971104231171
GradientBoosting,0.67,-0.02020202020202025
GradientBoosting,0.68,-0.028508771929824595
GradientBoosting,0.6900000000000001,-0.03735144312393893
GradientBoosting,0.7000000000000001,-0.046783625730994205
GradientBoosting,0.7100000000000001,-0.05686630369026022
GradientBoosting,0.72,-0.04511278195488719
GradientBoosting,0.73,-0.055555555555555525
GradientBoosting,0.74,-0.06680161943319834
GradientBoosting,0.75,-0.05263157894736842
GradientBoosting,0.76,-0.07309941520467839
GradientBoosting,0.77,-0.056445461479786435
GradientBoosting,0.78,-0.07735247208931423
GradientBoosting,0.79,-0.09064327485380122
GradientBoosting,0.8,-0.07894736842105268
GradientBoosting,0.81,-0.10156971375807947
GradientBoosting,0.8200000000000001,-0.12573099415204686
GradientBoosting,0.8300000000000001,-0.15170278637770906
GradientBoosting,0.8400000000000001,-0.15131578947368435
GradientBoosting,0.85,-0.17836257309941517
GradientBoosting,0.86,-0.15413533834586463
GradientBoosting,0.87,-0.12348178137651819
GradientBoosting,0.88,-0.14912280701754388
GradientBoosting,0.89,-0.17783094098883573
GradientBoosting,0.9,-0.20175438596491233
GradientBoosting,0.91,-0.2397660818713451
GradientBoosting,0.92,-0.2763157894736844
GradientBoosting,0.93,-0.323308270676692
GradientBoosting,0.9400000000000001,-0.2485380116959067
GradientBoosting,0.9500000000000001,-0.1491228070175441
GradientBoosting,0.9600000000000001,0.008771929824561403
GradientBoosting,0.97,0.008771929824561403
GradientBoosting,0.98,0.0
GradientBoosting,0.99,0.0
ExtraTrees,0.01,0.5569732411837675
ExtraTrees,0.02,0.5524525599713569
ExtraTrees,0.03,0.547838668837041
ExtraTrees,0.04,0.5431286549707602
ExtraTrees,0.05,0.5383194829178208
ExtraTrees,0.060000000000000005,0.5334079880552445
ExtraTrees,0.06999999999999999,0.5283908696472364
ExtraTrees,0.08,0.5232646834477498
ExtraTrees,0.09,0.5180258338153074
ExtraTrees,0.09999999999999999,0.5126705653021442
ExtraTrees,0.11,0.5071949536763256
ExtraTrees,0.12,0.5015948963317384
ExtraTrees,0.13,0.4958661020367009
ExtraTrees,0.14,0.49000407996736023
ExtraTrees,0.15000000000000002,0.4840041279669762
ExtraTrees,0.16,0.4778613199665831
ExtraTrees,0.17,0.47157049249630095
ExtraTrees,0.18000000000000002,0.4651262302096705
ExtraTrees,0.19,0.4585228503357158
ExtraTrees,0.2,0.45175438596491224
ExtraTrees,0.21000000000000002,0.44481456806573394
ExtraTrees,0.22,0.4376968061178587
ExtraTrees,0.23,0.43039416723627244
ExtraTrees,0.24000000000000002,0.42289935364727604
ExtraTrees,0.25,0.4152046783625731
ExtraTrees,0.26,0.4073020388809862
ExtraTrees,0.27,0.3991828887286709
ExtraTrees,0.28,0.39083820662768026
ExtraTrees,0.29000000000000004,0.38225846305905603
ExtraTrees,0.3,0.3734335839598997
ExtraTrees,0.31,0.36435291126366637
ExtraTrees,0.32,0.35036119711042313
ExtraTrees,0.33,0.34524744697564813
ExtraTrees,0.34,0.335725677830941
ExtraTrees,0.35000000000000003,0.33063427800269907
